name,source,n_flows,value,sigma,justification,reconciled_median,reconciled_ci_lo,reconciled_ci_hi,deviation,z_vs_sigma
AA Primary Aluminum Production,Aluminum Association,2,908.0,45.400000000000006,"Aluminum Association ASR Table 20, primary production, 2022",924.8425530095024,839.0167364067826,1007.707315403712,16.842553009502353,0.37098134382163767
AA Imports of Ingot,Aluminum Association,2,3649.0,182.45000000000002,"Aluminum Association ASR Table 20, imports of ingot, 2022",4015.9568188708754,3792.7597967371325,4236.8272190395255,366.9568188708754,2.011273328971638
AA Imports of Mill Products,Aluminum Association,10,2043.0,102.15,"Aluminum Association ASR Table 20, imports of mill products, 2022",1709.6897453697698,1593.2471912390204,1826.6860264926465,-333.31025463023025,-3.2629491397966737
AA Exports of Ingot,Aluminum Association,2,265.0,13.25,"Aluminum Association ASR Table 20, exports of ingot, 2022; covers both cast and wrought unwrought metal, hence both routes",272.8823740076616,248.60016919473892,298.27502873317684,7.8823740076616104,0.594896151521631
AA Exports of Mill Products,Aluminum Association,4,803.0,40.150000000000006,"Aluminum Association ASR Table 20, exports of mill products, 2022",759.7752817320086,686.4130113273886,831.1608442946149,-43.22471826799142,-1.0765807787793626
