flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,133.26315789473685,0.3
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,63.599999999999994,0.3
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,2532.0,0.3
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,237.6,0.3
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,29.4,0.3
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,953.0999999999999,0.3
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,705.0,0.3
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,69.3,0.3
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,33.0,0.3
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,21.159,0.3
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.3,300000000.0
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,6.0,0.3
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,6.0,0.3
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,466.5,0.3
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,518.1,0.3
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,321.0,0.3
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,197.4,0.3
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,26.099999999999998,0.3
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,799.5,0.3
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,803.1,0.3
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.3,300000000.0
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,14.7,0.3
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,291.3,0.3
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,276.59999999999997,0.3
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.3,300000000.0
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,700.8,0.3
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,518.4,0.3
