node,throughput_mean,residual_mean,residual_q2.5,residual_q97.5,residual_pct_mean,residual_pct_q2.5,residual_pct_q97.5,imbalance_pct_mean,imbalance_pct_median,n_inflows,n_outflows
3,4608.461649639926,-1.8806887595013473,-91.02317158529138,88.67578529497474,-0.03571523406575744,-1.9713963267802157,1.9309199124864622,0.8063326664871638,0.6993363320015054,2,3
5,4346.873916755318,-1.1414906385171317,-84.75679920417608,80.94793611593818,-0.023140849443364947,-1.9335931109966205,1.876064044672918,0.7894819507601102,0.6791320134381853,1,4
6,2090.73806229139,-0.08290633405783517,-40.49339593243929,41.11446998908733,0.00036910375872966847,-1.8965615900809425,1.9863853631512667,0.7975212224905442,0.6765183968030455,2,3
8,9859.187207886884,-67.31612390578373,-251.91440528998987,119.14135391130891,-0.6787716606905583,-2.5573607306431394,1.1988615524454045,0.9600088444989455,0.8368145903255249,8,2
9,2757.909434627927,-4.5167938222367034,-61.166161567651294,48.7447990298888,-0.16503462119049309,-2.2351658176601563,1.7563563623244232,0.8072853678851828,0.674482013492686,8,2
18,5648.158078509529,0.311012644448094,-107.84933635679167,104.98233213120265,0.00371994704837296,-1.9443854262090765,1.8516488796507617,0.7772791995573405,0.6457483667621453,9,3
19,2367.901412974967,-0.397043415585114,-45.25105167049354,43.897105184324936,-0.02263305808734023,-1.9420156529980974,1.882453999596075,0.7790249853491804,0.6433333840730471,1,2
20,2854.045543979999,-6.738141177294225,-61.05674273732827,48.72400330054671,-0.23640693703545781,-2.184313567983498,1.7341882196508773,0.8027013135578629,0.6612213528061395,4,2
21,2777.685503382429,-4.989413573202003,-58.64405108698765,47.54077854507486,-0.17695685130653876,-2.1092452660521106,1.7430724369080317,0.8006758931955841,0.6708538219443547,1,2
22,987.0570915088331,-0.8526988188022961,-19.249384168531883,17.458896560339937,-0.08409485730277116,-2.0018468536942997,1.8414233896443655,0.7947191335223159,0.6656087600916556,3,2
23,940.2054535311962,-0.6065091374105225,-19.29311600053383,17.923781857033358,-0.0650364900091363,-2.0969779179086587,1.9538069206289685,0.8291719553977469,0.6889348543774814,1,2
24,9697.076284400076,-69.11660198950464,-252.81688183803772,114.14331901638884,-0.7098499946083636,-2.52918085582455,1.1819125459827848,0.9704348512541052,0.8582947830140932,1,9
25,2658.763691237626,-4.005621290348929,-55.730942345592624,46.336504841448104,-0.1522074540818198,-2.1075681687531134,1.701882865561234,0.796840289299129,0.6760282857932254,1,9
26,143.46431990050837,-0.04255970933410327,-2.8355785843852677,2.891503663729222,-0.029736518876659575,-1.9574882041900894,1.9943817744478776,0.7992518457932621,0.6742647791471135,1,1
