flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.7888888888888889,788888888.8888888
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,15.777777777777777,0.7888888888888889
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,15.777777777777777,0.7888888888888889
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,1062.5833333333333,0.6833333333333332
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,268.64444444444445,0.15555555555555556
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,844.1111111111111,0.7888888888888889
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,519.0888888888888,0.7888888888888889
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,68.63333333333333,0.7888888888888888
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,2102.3888888888887,0.7888888888888889
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,2677.0,1.0
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,38.65555555555555,0.7888888888888888
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,151.04444444444445,0.15555555555555556
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,922.0,1.0
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
