flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,posterior_median,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,215.9261425965871,226.57173412890435,223.12284749885117,158.73725288834538,314.7421193799517
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3982.089122029113,3990.5031351016523,3988.801069432865,3809.3070770493905,4180.608453428887
2,3,85,bauxite,export_bauxite,6.0,,,,2022,18.895423820998474,35.88640490226895,29.697750706575682,8.925889483187143,99.90270995944604
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,192.54798379415774,205.93402923165397,201.35148361176567,128.24157317789982,310.3821702019991
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,4009.1425326713434,3994.177784444085,3995.9351339585637,3794.949205379497,4188.643967933026
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1335.0614097497285,1340.201751376538,1339.6775207383287,1242.0982602249228,1442.4736710629693
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2155.8577542206012,2136.852091309233,2137.031284952909,1918.520805180082,2359.4329944343594
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,326.1774286901038,337.6704218860229,333.9582577549885,235.7053307479132,462.1992186840971
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,803.7357948475152,807.1243021819531,805.3948945231803,649.2531753090733,981.2772330063673
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,731.869289725784,732.6233982795654,730.2444869107419,614.4302894597719,867.1641240276847
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,1061.751926414455,1053.3711576875985,1051.0709740186176,895.7978334225845,1221.1143438893885
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,669.9634094971506,676.1854305364595,674.502764711435,528.1615999391295,833.8318691744023
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,337.40499335059525,344.9143835913105,341.13690870737264,237.16227910250487,471.34137549547415
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,3185.572545101928,3203.9699233021,3204.714731993293,2960.91395430274,3453.5849951317405
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1477.776758325589,1469.5346753285933,1465.9423214229973,1280.6446802853015,1675.830335588286
15,8,91,remelting,loss_remelting,,,,,2022,110.14398304684762,155.94399072461755,140.30080157880826,55.29453408467885,350.2092926576244
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,9285.747453961105,9369.636369497235,9365.857949617179,8848.486106089289,9930.239078060198
17,9,92,refining,loss_refining,,,,,2022,74.4960161552692,99.4216874006864,92.64954784293167,39.00398320173503,199.70050433807646
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2586.3722725118914,2588.866995547246,2587.6097084301327,2454.2033202725015,2728.578716758356
19,10,8,alloying_element_si,remelting,,,,,2022,387.3169458460396,397.41042299185466,390.0720962308618,242.01229841339145,587.9603806362917
20,10,9,alloying_element_si,refining,,,,,2022,170.7281817227776,191.4858755488202,184.02561167585316,86.2581699598435,341.60013325914974
21,12,8,alloying_element_mg,remelting,,,,,2022,91.57652905098998,108.43338058817132,103.06654385344422,56.17822292107372,191.3508308947521
22,12,9,alloying_element_mg,refining,,,,,2022,0.5936846454137894,1.699236233351949,1.2821632773098064,0.2814630071654584,5.6642716395878985
23,16,8,alloying_element_other,remelting,,,,,2022,21.78840936509102,24.83824028503637,23.52314319526105,9.196167614146065,48.75335982724209
24,16,9,alloying_element_other,refining,,,,,2022,21.84940212275719,25.061182472228946,23.59730263852477,9.402360008699965,49.74876724402611
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,697.8059947890847,699.2733484696352,698.9241088807646,646.5271957653409,754.0432339908186
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1947.960553007838,1957.203279279179,1953.901579534273,1784.3831044262006,2148.3515759124266
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1804.2252673153646,1906.9614521476624,1899.5579713220527,1460.7354537239232,2424.2966511656973
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1936.7011876207066,1960.8831088244635,1959.057773910444,1764.3312547000235,2166.056517338076
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1296.575255194402,1322.444060767508,1322.7039796720378,1051.599047398114,1584.8302753106855
30,19,9,eol_scrap_recycled,refining,,,,,2022,644.6925609047897,648.1187228426135,647.1399978434808,444.02129566383127,879.1522110266056
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,64.42222715179994,95.38393509073515,85.68410898387023,32.3707385614947,218.42791066667658
