flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,0.9998000198937766,2939.04660956393,199.8012911286247,39.24852137626796,120.14831678467928,274.7405115945547,True
1,import_of_bauxite -> bauxite,0.9997670633442508,3200.0,3738.0650155499147,107.85618743138373,3529.8414464424773,3951.0834896525776,True
2,bauxite -> export_bauxite,1.0002934959870529,3035.483044830928,7.085359773001856,0.5695095315142826,5.973758661592799,8.203323601231542,True
3,bauxite -> bauxite_non_aluminum_use,0.9988668323894152,3200.0,196.99147380895582,33.24422877161336,132.86961906363194,263.22629799273597,True
4,bauxite -> bauxite_refining_to_alumina,0.9998188816371731,3141.3684336756355,3685.1083977856806,118.67858260371224,3455.91114314413,3922.068961967896,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.000758816960757,2963.629418829696,1299.4719657354087,54.483550139083356,1192.4812276209352,1406.5224836510106,True
6,bauxite_refining_to_alumina -> waste_bauxite,0.9999529860618758,3200.0,2045.751629024655,111.19884364859206,1828.9916073254672,2267.0534140794916,True
7,bauxite_refining_to_alumina -> export_alumina,0.9999804362041995,3200.0,225.87096350972587,15.201727702205412,197.16864472918795,256.7908506947421,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.9992034458438345,3034.0281992886685,732.1521668336725,43.856770990005636,644.8417616045764,817.2962863059024,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.0010058839967464,2802.6332841218014,647.6954275917835,34.88396306394921,581.2852918203674,716.0227251647633,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,1.000096553554731,3200.0,977.9440412709924,70.30936882970671,837.6385188425741,1116.2786020646922,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.9994073013969403,3200.0,684.3349779674223,53.353496728973724,579.8864144530188,786.2005894701188,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.9996651280045218,3200.0,277.9430655522666,47.655276874754726,187.199037836172,371.5561424614441,True
13,import_unwrought_aluminum_ingot -> remelting,1.0002183082187,3125.219269197202,2966.1480926125264,86.44325571023683,2800.780036420163,3138.9794509649814,True
14,import_unwrought_aluminum_ingot -> refining,0.9994820344421433,3200.0,1376.104513135397,43.36508439517672,1291.6150215327216,1460.1307634909865,True
15,remelting -> loss_remelting,0.9989800658826233,2800.4993988338065,111.31764499493639,62.72781630566349,9.802630430744115,241.14191208120283,True
16,remelting -> wrought_aluminum_ingot,1.0002282928108361,3172.740025105281,8737.483371494227,369.17103964999774,8031.416616389698,9456.363995011336,True
17,refining -> loss_refining,0.9993241957639802,2982.6086904665945,90.32009520170595,30.09009917845927,32.45298744314076,149.19646030389595,True
