node,throughput_mean,residual_mean,residual_q2.5,residual_q97.5,residual_pct_mean,residual_pct_q2.5,residual_pct_q97.5,imbalance_pct_mean,imbalance_pct_median,n_inflows,n_outflows
3,3943.0396545637755,48.68107531089521,-56.87108917668031,154.3489085650546,1.2339322192355722,-1.4180236455287425,3.876295719080653,1.4954487030446848,1.3246147679186984,2,3
5,3692.609773868842,33.63821082585263,-61.94922375427952,130.71974962199607,0.9106425441190737,-1.6496427228520647,3.514832328406266,1.3152707146552547,1.1413542411146815,1,4
6,1953.6890004688921,6.94530853650557,-39.94872769935827,56.37600852070379,0.36008322041426644,-2.0252456669579177,2.885331107707676,1.0236833537332817,0.8468883847782283,2,3
8,8851.248049547157,-190.05093560755276,-409.77702575517895,30.994888086238088,-2.1379070791092745,-4.590876890997768,0.37600574727069297,2.194541354187675,2.141902086488596,8,2
9,2561.8922856633744,-65.76753956388835,-127.37605474937126,-6.994876176916273,-2.5642499603886764,-4.925163672860054,-0.286454632833457,2.5837512623783665,2.579515892481284,8,2
18,5403.595399270175,-28.925354598315554,-147.96343963381622,88.32802742966959,-0.5384624845622219,-2.7846917934836544,1.6035560576497825,0.9918563467034032,0.8357444022251834,9,3
19,1910.7964558218569,-7.748072358264519,-51.50719245727069,35.06612729255906,-0.3994640032750924,-2.6908744633214345,1.8406653813961313,1.000206143415122,0.8712776327238789,1,2
20,2416.7376315283163,5.631334681036134,-57.64264655813636,67.91826599624855,0.24230733204303542,-2.4773664480144055,2.905132435835362,1.0887418645463638,0.9144840497560853,4,2
21,2364.476540246327,-23.929950065312916,-83.58221053976625,32.93331531846082,-1.0153128641628206,-3.562010745737249,1.5081596754821684,1.3245739042460203,1.1533868819971036,1,2
22,933.3890566832133,7.687587099723803,-14.459367839172788,30.38306906943384,0.8293597472067895,-1.5539017990946333,3.301093161631114,1.1977474550898153,1.0275325486977533,3,2
23,898.0174495699338,-12.239172277709585,-34.71534722495545,9.173072815373283,-1.357422593518541,-3.8041033309949306,1.0291947851069894,1.5240430864650722,1.3843408275429143,1,2
24,8831.439634275106,-80.11123379889291,-291.02227151008935,126.6608534297515,-0.9007689618840187,-3.258244721880468,1.4404327546512676,1.2170587173020244,1.056079294746779,1,9
25,2489.8398974525344,-10.703993717036983,-71.8843038265306,51.66239412438284,-0.43013955130433956,-2.862480504354204,2.039719296797173,1.0560362618761,0.9083152412256315,1,9
26,132.77752175863316,0.2600908779283171,-3.0335941295083817,3.680337350629645,0.19900982725529565,-2.3792402086852142,2.774715293648718,1.0549583512224416,0.8873249809920039,1,1
27,1222.5247102213193,-12.897982714491318,-44.12456211710113,18.997026745944712,-1.0456391599945491,-3.5595401865310303,1.5983669143011012,1.3536855434036112,1.1797786696712138,1,1
28,5.952800234820926,-0.021484199040540372,-0.16684501339202257,0.11569038772130898,-0.3648903033351999,-2.8008899597280523,1.980620738906912,1.0026340784591792,0.8389946396629031,1,2
29,554.2879393831379,1.878860613751087,-10.963483034845046,14.857401982845747,0.3360126546348612,-1.9713721230480035,2.7061013168764627,1.0023774713985925,0.8560958895708495,1,2
30,7.971562367886554,0.05593757676012327,-0.12322430274330824,0.23290750068967794,0.6990234740863372,-1.5762362078751808,2.9026731737094784,1.097854894340729,0.9612376256994954,1,2
31,45.080629856645736,0.4064932271588384,-0.647838739034979,1.4005913372481882,0.899561796522488,-1.4383386063126735,3.1174636532543234,1.1973771943347906,1.0333357512341002,1,2
32,8.106641511311796,0.07730046426605972,-0.0967779320237641,0.253646377822039,0.9531693254806638,-1.2109892207580808,3.1558848584299914,1.2190754658421112,1.1019548125478567,1,2
33,269.2140624037243,0.23202413491351973,-6.42378068943434,6.797173390675504,0.08334504698192904,-2.386042318945865,2.5221972597371267,0.9973306525027722,0.8320857466524946,1,3
34,1778.5960336566113,-3.8723707676700427,-50.61393249832433,42.206208174315385,-0.20463153120096111,-2.812897482569125,2.444450993068549,1.0741707371061684,0.8918270791990472,3,9
35,416.8501135766224,0.49899657908704315,-9.60412308760057,11.10267813808872,0.1356873688618691,-2.767744642318582,3.207555759667303,1.118713300954121,0.8813807859403566,1,1
36,505.4188220515365,-2.475956149645469,-13.477658563577728,8.793791744779066,-0.4788683458020503,-2.675324665707438,1.822400682638859,0.9901972741948716,0.8372038140977212,7,7
37,207.4401205381248,-1.1129138538207561,-5.695241929266944,3.5573833831317314,-0.5721344472583494,-3.2380224705569693,1.8196025572413097,1.0666006688418053,0.8506061039976704,1,1
