node,throughput_mean,residual_mean,residual_q2.5,residual_q97.5,residual_pct_mean,residual_pct_q2.5,residual_pct_q97.5,imbalance_pct_mean,imbalance_pct_median,n_inflows,n_outflows
3,4007.8185330168158,16.09289631919429,-46.94082537892282,79.5567005131181,0.40257021597183695,-1.160500057794067,1.9846162318559915,0.73249373716582,0.6181876987808805,2,3
5,3777.7307305332215,8.170306142594734,-50.50055453969041,66.86425408083856,0.21747371277680183,-1.3168668971957525,1.7709493928802624,0.6710928202904475,0.5702992450692512,1,4
6,1986.633190564984,3.315607214330029,-27.79505713515033,34.01419921197126,0.16876442710821976,-1.3856147405506756,1.7273440966474234,0.6511285989109084,0.5488464778612754,2,3
8,8901.801552780948,-75.49617468695784,-205.17426107896793,54.14919837161126,-0.846198901883583,-2.3156466617192213,0.6110051352082135,0.944279927616974,0.8701359559626596,8,2
9,2557.0190359306084,-26.426980716772615,-67.40774037052104,15.15153585324954,-1.0324948150646838,-2.6181288945164316,0.6043094425408233,1.1124184039864635,1.0581785143641624,8,2
18,5614.220479520182,-11.89337698038402,-86.13562265623564,62.15874839238911,-0.2136784790520135,-1.5525110231021435,1.1124861838385478,0.5610219598528206,0.469868669254459,9,3
19,2102.3298529594017,-2.9039921346481914,-32.23119743920263,24.617911207620224,-0.1364470599436743,-1.5288884816251294,1.1914349192783564,0.5598629197779933,0.46950988134920607,1,2
20,2389.37274609228,0.535433453648156,-31.13869341220003,31.59944425989831,0.025102099031333803,-1.3744054132445889,1.4143748281395485,0.5525893717070179,0.4614880961674702,4,2
21,2329.2988688603136,-7.5946864090630815,-37.629722849666095,22.727979341566318,-0.3269556638154458,-1.6290086705247269,0.9760875647181401,0.6003266560513287,0.5111265987029523,1,2
22,932.0136639779771,3.2133333876435732,-11.080819236122494,17.78728510067082,0.3471212121082455,-1.1675329258578848,1.938541095457065,0.6855156715735352,0.5791509424774028,3,2
23,894.853854443599,-5.335236676510387,-18.816858198229774,8.32914901552813,-0.5936107868487579,-2.0869243295399116,0.9343489816790972,0.8108089478737486,0.7221817849387044,1,2
24,8846.042745052951,-39.06091036871638,-167.6654545579934,88.66875915218242,-0.4400487442842588,-1.9138497093170188,1.010481110978508,0.6905783463563324,0.5885598591060147,1,9
25,2475.4720339728888,-4.647510166039984,-43.6974994118288,35.149831345089545,-0.18910922561731347,-1.7767883685740622,1.3964224080310643,0.6739283414257404,0.5712710163107051,1,9
26,132.81331234609254,0.09972265285080552,-1.9485293486651003,2.1814927703249904,0.07644827910196303,-1.4687113280621407,1.6757858390784808,0.6343942187280426,0.5293256588165365,1,1
27,1212.6935874719277,-5.129686948342144,-24.696751694143366,14.00726923838653,-0.420883144605126,-2.013650861861753,1.1651015404212552,0.7368372646664159,0.622409505974136,1,1
28,5.941869107137011,-0.007725761865127075,-0.09867038048721821,0.08427653784357939,-0.13137845603882714,-1.656451834189807,1.4539672975162834,0.6418079803822192,0.5419756103473623,1,2
29,552.5797077953466,0.6221951085096292,-7.8695132738246345,9.328296321311171,0.11248288649660389,-1.4329420485859252,1.7274495894862185,0.6488312871912889,0.5493578901609003,1,2
30,7.998886330987897,0.02303908128030042,-0.10152947361329298,0.14091630058837942,0.28767691697326525,-1.28335411974716,1.7670999068425428,0.658519732402199,0.5564806440056944,1,2
31,45.032829855120966,0.18736294798133407,-0.4715078365530525,0.8751203282904909,0.4140033774672483,-1.0710889399034025,1.9165301304582736,0.6963449047599579,0.6010518190118991,1,2
32,8.086884044874498,0.0384050831126091,-0.08451661238870559,0.15738079044150977,0.4763381745767292,-1.0465368365426004,1.96426204138626,0.7276257703691904,0.6250549237068722,1,2
33,269.5189076837306,0.0798797952200042,-4.102888182984342,4.256887254186518,0.028534580948840274,-1.50874628991262,1.5505535655111304,0.6128670674953703,0.5180289045154315,1,3
34,1757.855762417759,-1.0191802722560481,-26.295015939171098,24.82763222513406,-0.05341568713205249,-1.494048239569722,1.4212669060311627,0.5881991902689714,0.5010834626199964,3,9
35,409.79761028770014,0.07870377162574797,-3.2536896420126453,3.5581408336610156,0.02531161730827878,-0.9145695339555417,1.0391959673213362,0.3703930285526322,0.28908058457437724,1,1
36,504.68004185936576,-1.296130231635067,-9.049630133250577,6.516769685287426,-0.25260936010953045,-1.8185686972228083,1.3355077524788517,0.6782482793820594,0.5657025593167508,7,7
