flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
137,import_mill_semifinished_products,extruded_products,0.40044043292459736,0.01866732799238349,0.9522562573146189,0.9335889293222355,2.331405254219245,,0.0,,1,observation-driven,,,,,0.9991465317140124,0.0008534682859875
138,import_mill_semifinished_products,wire,301.8599438680017,272.91337600211256,331.3043487641148,58.390972762002264,0.19343730080177732,,312.0,,1,structure-determined,,,,,0.0865940743140778,0.9134059256859224
139,import_mill_semifinished_products,forging_impacts,0.40157676920638496,0.01876598032314318,0.9510451614246175,0.9322791811014743,2.3215465947990186,,0.0,,1,observation-driven,,,,,0.8043895556332273,0.1956104443667727
140,import_mill_semifinished_products,powerder_paste,15.017278663539793,13.541694075624708,16.491217277210797,2.9495232015860893,0.19640863485787133,,15.0,,1,structure-determined,,,,,0.3504445923336287,0.6495554076663713
141,rolling,scrap_rolling,1695.9994639632723,605.1804128890107,2696.850362225377,2091.6699493363662,1.233296350488506,,1600.0,,1,structure-determined,,,,,0.0002021635429533,0.9997978364570468
142,rolling,sheet_plate,4589.03661981679,4176.763939207514,5027.9828713500565,851.2189321425421,0.1854896795695053,,4512.0,,1,structure-determined,,,,,0.0001432505500167,0.9998567494499832
143,rolling,foil,436.9747653959604,350.6124061070834,525.7931995270792,175.18079341999578,0.4008945305142676,,631.0,,1,structure-determined,,,,,0.0002073378821355,0.9997926621178644
144,rolling,export_milling_semifinished_products,340.47705202093164,227.48651980811553,769.838088383742,542.3515685756265,1.5929166601873779,,1111.0,,1,structure-determined,,,,,0.0076575010156125,0.9923424989843876
145,scrap_rolling,forming_scrap_generated,1698.9932941628463,604.9856160717828,2700.5688047370218,2095.583188665239,1.233426403662062,,1600.0,,1,structure-determined,,,,,0.0001565490288536,0.9998434509711464
146,extrusion,scrap_extrusion,716.3286412296684,211.87131270020146,1248.1816301993485,1036.310317499147,1.4466967504191788,,738.0,,1,structure-determined,,,,,0.0001785841157598,0.99982141588424
147,extrusion,extruded_products,2386.2719512764716,2176.104951686053,2602.1901815911224,426.08522990506935,0.17855686133223272,,2444.0,,1,structure-determined,,,,,0.0001243698943735,0.9998756301056264
148,extrusion,export_milling_semifinished_products,122.58959769711069,48.605609732243565,323.69014271210534,275.08453297986176,2.24394677972212,,229.0,,1,structure-determined,,,,,0.0373302829603616,0.9626697170396382
149,scrap_extrusion,forming_scrap_generated,716.8620590370466,212.15000699979126,1248.737152973522,1036.5871459737307,1.4460064288604804,,738.0,,1,structure-determined,,,,,0.0001755744162885,0.9998244255837114
150,drawing,scrap_drawing,191.83296503803416,134.7659529442955,211.1610537360626,76.3951007917671,0.3982376062248763,,118.0,,1,structure-determined,,,,,0.0003656705121139,0.999634329487886
151,drawing,wire,223.49270355600817,159.59624275183293,290.6742365729725,131.0779938211396,0.5864978665323225,,451.0,,1,structure-determined,,,,,9.009988441719264e-05,0.9999099001155828
152,drawing,export_milling_semifinished_products,55.036166181869035,17.930873176138928,72.91550086349223,54.984627687353296,0.9990635522404407,,41.0,,1,structure-determined,,,,,0.0180532924598011,0.981946707540199
153,scrap_drawing,forming_scrap_generated,191.75958040933978,134.4860246100834,211.0764464372833,76.59042182719989,0.3994085805971523,,118.0,,1,structure-determined,,,,,0.0004360206797855,0.9995639793202143
154,other_milling_processes,scrap_other_milling_processes,165.17897407252343,58.64462845118587,317.04900518747945,258.40437673629356,1.5643902511637988,,209.0,,1,structure-determined,,,,,0.0001339124256193,0.9998660875743806
155,other_milling_processes,forging_impacts,143.98259316955847,125.55870255570888,163.30337542271465,37.744672867005775,0.2621474723861686,,200.0,,1,structure-determined,,,,,8.969255538426707e-05,0.9999103074446156
156,other_milling_processes,powerder_paste,39.76738227888224,29.306947395310864,50.280655254292604,20.97370785898174,0.5274098182248083,,55.0,,1,structure-determined,,,,,0.0001917598237407,0.9998082401762592
157,other_milling_processes,export_milling_semifinished_products,0.39045508137388285,0.017157820789962953,0.956424306858405,0.939266486068442,2.4055686066716624,,0.0,,1,observation-driven,,,,,0.965692623871585,0.034307376128415
158,scrap_other_milling_processes,forming_scrap_generated,165.29844835953878,58.48566427492081,317.1507318609913,258.6650675860705,1.5648366343007107,,209.0,,1,structure-determined,,,,,0.0001682106692054,0.9998317893307944
159,sheet_plate,scrap_sheet_plate,823.7241012139458,705.424198007367,941.2956412324679,235.87144322510096,0.28634762886929066,,788.0,,1,structure-determined,,,,,0.0002053689824083,0.9997946310175916
160,sheet_plate,building_construction,215.89961165243642,115.88138426864634,569.0515635007912,453.17017923214485,2.098985615414982,,557.0,,1,structure-determined,,,,,0.0008956914460386,0.9991043085539612
161,sheet_plate,transportation_auto,809.6920145967151,645.4708482283227,975.2649500745744,329.7941018462517,0.4073080824571462,,888.0,,1,structure-determined,,,,,0.0947419626932963,0.9052580373067036
162,sheet_plate,transportation_other,569.8669202714915,454.50738925586927,682.6913485770276,228.18395932115834,0.4004162221110303,662.0,604.0,,2,structure-determined,,,,,0.0654031433020471,0.934596856697953
163,sheet_plate,machine_industry,279.9289777015679,223.59679331515218,335.4895465033241,111.89275318817192,0.39971836466127036,,287.0,,1,structure-determined,,,,,0.0799069672429286,0.9200930327570712
164,sheet_plate,electrical_equipment,150.36085946716557,121.79421626021126,179.9280624909784,58.13384623076713,0.38662885033230254,,153.0,,1,structure-determined,,,,,0.4545391019571629,0.545460898042837
165,sheet_plate,consumer_durables,274.81597413233465,220.15096394930995,329.44672329214524,109.29575934283528,0.3977052632690307,,285.0,,1,structure-determined,,,,,0.2563107507397845,0.7436892492602155
166,sheet_plate,container_packages,1421.0308565076534,1127.6456818953154,1724.7422211247683,597.0965392294529,0.4201854847099424,,1706.0,,1,structure-determined,,,,,0.0116395120411454,0.9883604879588545
167,sheet_plate,other_end_uses,32.9109126187218,26.48101145073391,39.20955526821605,12.72854381748214,0.38675754649967814,,33.0,,1,structure-determined,,,,,0.4478742512849545,0.5521257487150455
168,scrap_sheet_plate,fabrication_scrap_generated,824.5746241147558,708.0131703120825,941.2852824230866,233.27211211100416,0.2828999405134977,,788.0,,1,structure-determined,,,,,0.0065731093361201,0.99342689066388
169,foil,scrap_foil,31.040464165362856,25.272029249085847,36.9534821326239,11.68145288353805,0.3763298390548245,,31.0,,1,structure-determined,,,,,0.0001954661524429,0.9998045338475572
170,foil,building_construction,16.53338890249033,4.336896194201054,29.336208840709464,24.99931264650841,1.5120501183361692,,17.0,,1,structure-determined,,,,,0.1838237396302353,0.8161762603697645
171,foil,transportation_auto,35.86237914699055,29.235683233755786,42.737502848724866,13.50181961496908,0.3764897905860802,,36.0,,1,observation-driven,,,,,0.7712273778450145,0.2287726221549855
172,foil,transportation_other,11.025702686776775,8.945981902147436,13.150566432212967,4.204584530065532,0.38134390609934804,27.0,11.0,,2,multi-source,,,,,0.9699824736327274,0.0300175263672726
173,foil,machine_industry,2.996075235853018,2.4287703774662464,3.566071644367945,1.1373012669016989,0.37959703190761024,,3.0,,1,observation-driven,,,,,0.9968012278098594,0.0031987721901406
174,foil,electrical_equipment,5.010324319615128,4.057649748502391,5.955087452383283,1.8974377038808914,0.3787055653169064,,5.0,,1,observation-driven,,,,,0.9933438260837706,0.0066561739162294
175,foil,consumer_durables,134.57500477053856,108.93957308412841,160.33313871906182,51.39356563493341,0.3818953283528666,,137.0,,1,structure-determined,,,,,0.1742472427798466,0.8257527572201533
176,foil,container_packages,405.44535291227464,325.9098332954066,485.5038108275315,159.59397753212488,0.3936263577465541,,423.0,,1,structure-determined,,,,,0.0222190806328111,0.9777809193671888
177,foil,other_end_uses,1.0000362590598773,0.8093456808409584,1.1875116885286063,0.37816600768764796,0.37815229624089586,,1.0,,1,observation-driven,,,,,0.9986530295988756,0.0013469704011245
178,scrap_foil,fabrication_scrap_generated,31.01771779021442,25.322493153494175,36.890694779701924,11.568201626207749,0.3729546352974211,,31.0,,1,structure-determined,,,,,0.0105146439522024,0.9894853560477976
179,extruded_products,scrap_extruded_products,103.4908457553529,83.74221205728925,123.17354072391983,39.43132866663058,0.3810127202926164,,103.0,,1,structure-determined,,,,,0.0001968690878963,0.9998031309121036
180,extruded_products,building_construction,831.8394762938685,660.8376090023545,1000.0798818706171,339.2422728682626,0.4078218004027698,,915.0,,1,structure-determined,,,,,0.0151625469813685,0.9848374530186316
181,extruded_products,transportation_auto,275.4214876059498,222.24417425136676,330.81645974459093,108.57228549322417,0.3942041212432938,,284.0,,1,structure-determined,,,,,0.3456596226834755,0.6543403773165244
182,extruded_products,transportation_other,435.1689383612637,348.63593234506004,521.9710431490414,173.33511080398137,0.398316827153881,212.0,480.0,,2,structure-determined,,,,,0.0850155055021875,0.9149844944978124
183,extruded_products,machine_industry,231.87639821799598,187.79483247703615,276.9136804070947,89.11884793005856,0.38433772740541916,,237.0,,1,structure-determined,,,,,0.1053775947625601,0.8946224052374397
184,extruded_products,electrical_equipment,237.66335662032418,191.33174735224563,283.649516565539,92.31776921329336,0.38843922145210774,,243.0,,1,structure-determined,,,,,0.212881339026856,0.787118660973144
185,extruded_products,consumer_durables,239.21341604255682,193.21565899519865,284.8198005938141,91.60414159861543,0.3829389802381266,,247.0,,1,structure-determined,,,,,0.258264674200222,0.741735325799778
186,extruded_products,other_end_uses,38.84693421139927,31.393922708620245,46.24857863108095,14.854655922460708,0.382389401480793,,39.0,,1,structure-determined,,,,,0.365087407362987,0.6349125926370129
187,scrap_extruded_products,fabrication_scrap_generated,103.49346431032347,84.05009881057525,122.76957201124856,38.719473200673306,0.37412481511463946,,103.0,,1,structure-determined,,,,,0.0104737575385337,0.989526242461466
188,wire,building_construction,17.615624956838445,4.563477681187215,27.162994808668216,22.599517127481,1.282924516323095,,15.422128,,1,structure-determined,,,,,0.141248638790438,0.858751361209562
189,wire,transportation_other,12.303685991526741,9.988754844291782,14.598202500290235,4.609447655998453,0.37463957217153226,,12.246984,,1,observation-driven,,,,,0.9375104112053968,0.0624895887946033
190,wire,machine_industry,8.654481690675798,7.012351381594439,10.21193181684995,3.19958043525551,0.3697021438849062,,8.618248,,1,observation-driven,,,,,0.961135120231227,0.038864879768773
191,wire,electrical_equipment,471.5940893626388,408.8112398320105,536.103925311251,127.29268547924056,0.2699200188265233,,407.325616,,1,structure-determined,,,,,0.0130481869282114,0.9869518130717884
192,wire,consumer_durables,10.034120582068086,8.099202171815687,11.948300936377997,3.84909876456231,0.38360100749048304,,10.0,,1,observation-driven,,,,,0.957822234173669,0.0421777658263311
193,wire,other_end_uses,5.016594387228459,4.053034973276727,5.96534417512701,1.9123092018502827,0.38119669525579986,,5.0,,1,observation-driven,,,,,0.9630049945276028,0.0369950054723972
194,forging_impacts,transportation_auto,32.89284234512192,26.701161404287028,39.15254684550198,12.451385441214953,0.3785439187824253,,33.03446076315101,,1,structure-determined,,,,,0.169586613855787,0.830413386144213
195,forging_impacts,transportation_other,91.94557628921407,74.73599717275813,109.88387912230486,35.14788194954673,0.3822683305501218,,93.064115236849,,1,structure-determined,,,,,0.0249362937497939,0.975063706250206
196,forging_impacts,machine_industry,4.52836636266242,3.6890752294844837,5.396771637342906,1.707696407858422,0.37711092060457635,,4.53592,,1,observation-driven,,,,,0.9132857448772332,0.0867142551227669
197,forging_impacts,electrical_equipment,0.45367481660614883,0.3663914792146626,0.5412953688451897,0.1749038896305271,0.38552699693350484,,0.453592,,1,observation-driven,,,,,0.9990696052109264,0.0009303947890737
198,forging_impacts,consumer_durables,9.948877109120607,8.079923708063145,11.847002690746624,3.767078982683479,0.3786436339865953,,9.979024,,1,observation-driven,,,,,0.6900440827293004,0.3099559172706995
199,forging_impacts,container_packages,0.06526368151880188,0.002993356582437318,0.2177026661924552,0.21470930961001788,3.2898743162100357,,0.0,,1,observation-driven,,,,,0.9955160115210808,0.0044839884789189
200,forging_impacts,other_end_uses,4.5346671358271635,3.6875711368518242,5.355738634444746,1.668167497592922,0.36786988937141324,,4.53592,,1,observation-driven,,,,,0.8965697288378731,0.1034302711621269
201,powerder_paste,other_end_uses,54.79202559693155,44.53234117634121,65.03811668853847,20.505775512197253,0.37424744365255974,,55.0,,1,structure-determined,,,,,0.0101552108454455,0.9898447891545544
202,import_finished_consumption,building_construction,203.8144942223999,183.9464919229928,223.99093479466853,40.04444287167573,0.19647495152125793,,204.0,,1,observation-driven,,,,,0.5945761974237517,0.4054238025762484
203,import_finished_consumption,transportation_auto,655.6234000676229,590.2238555534175,720.3786979602024,130.15484240678495,0.19852073979263157,,656.0,,1,observation-driven,,,,,0.5313617830138354,0.4686382169861646
204,import_finished_consumption,transportation_other,225.4049426126303,203.00485048356316,247.62601353335089,44.621163049787725,0.19796000270708985,,225.0,,1,observation-driven,,,,,0.6781305926687415,0.3218694073312584
205,import_finished_consumption,machine_industry,241.24256142071096,217.23938600090761,264.44477983059664,47.20539382968903,0.1956760596127396,,241.0,,1,structure-determined,,,,,0.3242933740441094,0.6757066259558905
206,import_finished_consumption,electrical_equipment,515.8672414125517,466.02111804821595,567.0007543558718,100.97963630765582,0.1957473322615962,,516.0,,1,structure-determined,,,,,0.2321777491100333,0.7678222508899667
207,import_finished_consumption,consumer_durables,906.3862044149561,817.8468177227539,993.7125535525148,175.86573582976087,0.1940295814004326,,911.0,,1,structure-determined,,,,,0.1267284104250721,0.8732715895749279
208,import_finished_consumption,container_packages,0.37081192572030414,0.017852839860499,0.945832836164657,0.927979996304158,2.502562436473832,,0.0,,1,observation-driven,,,,,0.9989568144702424,0.0010431855297575
209,import_finished_consumption,other_end_uses,0.3760333498467726,0.019568936224334105,0.9411219482397715,0.9215530120154374,2.450721491567051,,0.0,,1,observation-driven,,,,,0.9546601199030852,0.0453398800969149
210,building_construction,export_finished_consumption,53.596166794023745,14.638887687591101,95.2789360971526,80.6400484095615,1.5045861156352938,,55.0,,1,structure-determined,,,,,0.1126195389499645,0.8873804610500355
211,building_construction,consumption_building_construction,1267.039547593858,1038.9843721885982,1627.9780867653799,588.9937145767817,0.46485819301796577,,1674.51826026986,,1,structure-determined,,,,,0.0001368957701682,0.9998631042298318
212,transportation_auto,export_finished_consumption,798.9986461185567,211.07860918833754,1398.0531583483137,1186.974549159976,1.4855776726608505,,802.0,,1,structure-determined,,,,,0.0036883530466077,0.9963116469533922
213,transportation_auto,consumption_transportation_auto,2614.1940001046532,1917.8939874039886,3300.307566954833,1382.4135795508444,0.5288106313056731,,2736.963739955534,,1,structure-determined,,,,,0.0004095575633575,0.9995904424366424
214,transportation_other,export_finished_consumption,226.60494074326965,60.356922442151884,392.36139544702183,332.00447300486996,1.4651245992955286,,226.0,,1,structure-determined,,,,,0.0100879777399252,0.9899120222600748
215,transportation_other,consumption_transportation_other,1383.2454680511369,1113.7295181902384,1653.3113998517208,539.5818816614824,0.39008396855382627,,1464.779895135754,,1,structure-determined,,,,,0.0003125998760681,0.9996874001239318
216,machine_industry,export_finished_consumption,128.42995343446447,33.89811720777793,229.27438693203877,195.37626972426085,1.5212671538026985,,133.0,,1,structure-determined,,,,,0.007631491008144,0.992368508991856
217,machine_industry,consumption_machine_industry,699.9586624715698,563.6107508708766,831.3060261118133,267.69527524093667,0.38244440649637595,,1563.329674932784,,1,structure-determined,,,,,7.173850690968888e-05,0.9999282614930902
218,electrical_equipment,export_finished_consumption,270.94395150993944,70.08161372620732,469.0705851869356,398.9889714607283,1.4725885897699826,,270.0,,1,structure-determined,,,,,0.0053607197805621,0.9946392802194378
219,electrical_equipment,consumption_electrical_equipment,1189.1199853322755,956.9341106555968,1425.0379957631499,468.1038851075531,0.39365572093782525,,1160.774041485902,,1,structure-determined,,,,,0.000375726109836,0.999624273890164
220,consumer_durables,export_finished_consumption,232.31332367373855,65.81600464439803,365.75825388960556,299.9422492452075,1.2911108347209874,,209.0,,1,structure-determined,,,,,0.0132766939986981,0.986723306001302
221,consumer_durables,consumption_consumer_durables,1505.9742483216414,1291.4085956218796,1686.021649609807,394.6130539879273,0.262031740866559,,949.1801201058628,,1,structure-determined,,,,,0.0008401750042489,0.9991598249957512
222,container_packages,export_finished_consumption,0.3972877317396465,0.019985397245355294,0.9511975296295989,0.9312121323842436,2.3439237056393485,,0.0,,1,observation-driven,,,,,0.9986557638130916,0.0013442361869083
223,container_packages,consumption_container_packages,1828.9325194990138,1520.378633343066,2140.7130622918585,620.3344289487925,0.3391784127271772,,2129.160848,,1,structure-determined,,,,,0.0002111915255954,0.9997888084744044
224,other_end_uses,export_finished_consumption,0.3853388823182232,0.019377987539592488,0.9552468654015795,0.935868877861987,2.4286904872712047,,0.0,,1,observation-driven,,,,,0.942313783014673,0.0576862169853271
225,other_end_uses,consumption_other_end_uses,286.8312088393285,218.24597992003604,352.71477005290023,134.4687901328642,0.46880808638988897,,342.915552,,1,structure-determined,,,,,0.0001790260760558,0.9998209739239442
226,eol_scrap_building_construction,eol_scrap_generated,219.17214528612374,57.464828849968704,392.2835627530335,334.8187339030648,1.5276518531402217,795.0,207.0,,2,structure-determined,,,,,0.1127203865500271,0.8872796134499729
227,eol_scrap_transportation_auto,eol_scrap_generated,1003.3583561938552,335.36879553161793,2061.431541358286,1726.0627458266679,1.720285414649182,,1402.0,,1,structure-determined,,,,,0.0026693052445653,0.9973306947554346
228,eol_scrap_transportation_other,eol_scrap_generated,412.90920828241974,111.17143345217602,757.4623345790163,646.2909011268403,1.5652130980929666,,441.0,,1,structure-determined,,,,,0.0263381966302728,0.9736618033697272
229,eol_scrap_machine_industry,eol_scrap_generated,215.11951585047402,56.22671120870509,388.6040245138623,332.37731330515726,1.545082100018239,,224.0,,1,structure-determined,,,,,0.0948979030418542,0.9051020969581458
230,eol_scrap_electrical_equipment,eol_scrap_generated,271.7845321340078,72.49404990673405,497.87599616383454,425.3819462571005,1.5651440606905436,,287.0,,1,structure-determined,,,,,0.0600347993577771,0.9399652006422228
231,eol_scrap_consumer_durables,eol_scrap_generated,642.8463377384963,180.29394701573034,1270.2706570543353,1089.976710038605,1.6955478254307128,,754.0,,1,structure-determined,,,,,0.0091687908746798,0.9908312091253202
232,eol_scrap_container_packages,eol_scrap_generated,1593.7982600484715,1286.4131670448442,1888.3198266818943,601.9066596370501,0.37765548797797316,,1608.0,,1,structure-determined,,,,,0.0994691174353737,0.9005308825646263
233,eol_scrap_other_end_uses,eol_scrap_generated,235.94771848888678,61.472744091897226,427.3304513823589,365.8577072904617,1.5505880270153733,,247.0,,1,structure-determined,,,,,0.0793851300228254,0.9206148699771746
