run,n_flows,n_draws,rhat_median,rhat_max,ess_min,ess_median,n_flagged,mb_residual_kt_max,mb_residual_pct_max,mb_residual_pct_median,flows_structure_determined,flows_observation_driven,flows_multi_source,flows_prior_informed
aluminum_2017_baseline,234,8000,1.0000164109155258,1.004194185409426,2302.1440138281164,7131.282428927221,0,105.67748311844235,1.06905498539679,0.02876167762976295,195,36,3.0,
aluminum_2022_update,234,8000,0.999921678048912,1.0011518411095086,6397.825598513456,8000.0,0,81.13083439606757,1.0810281799910952,0.25248345546519513,181,3,,50.0
