Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Value1,Value2,Value3,Value4
1,Bauxite mining,Bauxite,1,3,229,229,,
2,Import of bauxite,Bauxite,2,3,4350,4360,,
3,Bauxite,Export bauxite,3,85,29,40,,
4,Bauxite,Bauxite non-aluminum use,3,86,229,229,,
5,Bauxite,Bauxite refining (to alumina),3,5,4321,4320,,
6,Import alumina,Primary smelting (Hall-Hauroult to aluminum),4,6,1330,1300,,
7,Bauxite refining (to alumina),Waste bauxite,5,87,2377,2376,,
8,Bauxite refining (to alumina),Export alumina,5,88,481,450,,
9,Bauxite refining (to alumina),Alumina non-aluminum use,5,89,781,,,
10,Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),5,6,739,770,,
11,Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,6,90,1328,,,
12,Primary smelting (Hall-Hauroult to aluminum),Remelting,6,8,506,,,
13,Primary smelting (Hall-Hauroult to aluminum),Refining,6,9,235,,,
14,Import unwrought aluminum ingot,Remelting,7,8,3299,,,
15,Import unwrought aluminum ingot,Refining,7,9,1531,,,
16,Remelting,Loss remelting,8,91,444.2105263,212,,
17,Remelting,Wrought aluminum ingot,8,24,7958,,,
18,Refining,Loss refining,9,92,792,98,,
19,Refining,Cast aluminum ingot,9,25,2350,,3177,
20,Alloying element - Si,Remelting,10,8,107.2955136,,231,
21,Alloying element - Si,Refining,10,9,50.4920064,,110,
22,Alloying element - Cu,Remelting,11,8,52.8632,,0,
23,Alloying element - Cu,Refining,11,9,14.7368,,0,
24,Alloying element - Mg,Remelting,12,8,69.4416,,70.53,
25,Alloying element - Mg,Refining,12,9,19.3584,,0,
26,Alloying element - Mn,Remelting,13,8,5.72424,,0,
27,Alloying element - Mn,Refining,13,9,1.59576,,0,
28,Alloying element - Fe,Remelting,14,8,0,,,
29,Alloying element - Fe,Refining,14,9,0,,,
30,Alloying element - Zn,Remelting,15,8,3.51118,,,
31,Alloying element - Zn,Refining,15,9,0.97882,,,
32,Alloying element - Other,Remelting,16,8,0,,20,
33,Alloying element - Other,Refining,16,9,0,,20,
34,Import scrap,EOL scrap (generated),17,18,720,,,
35,EOL scrap (generated),Export EOL scrap,18,93,1570,,,
36,EOL scrap (generated),Loss EOL scrap,18,94,1872.750009,,1325.060005,
37,EOL scrap (generated),EOL scrap (recycled),18,19,1727,,2274.690004,
38,EOL scrap (recycled),Remelting,19,8,1070,,,
39,EOL scrap (recycled),Refining,19,9,658,,,
40,Forming scrap (generated),Loss forming scrap,20,95,87,,,
41,Forming scrap (generated),Forming scrap (recycled),20,21,2665,,,
42,Forming scrap (recycled),Remelting,21,8,2677,,,
43,Forming scrap (recycled),Refining,21,9,0,,,
44,Fabrication scrap (generated),Loss fabrication scrap,22,96,49,,,
45,Fabrication scrap (generated),Fabrication scrap (recycled),22,23,1182.362427,,,
46,Fabrication scrap (recycled),Remelting,23,8,804.0064504,,,
47,Fabrication scrap (recycled),Refining,23,9,378.3559766,,,
48,Wrought aluminum ingot,1xxx,24,42,877,,,436
49,Wrought aluminum ingot,2xxx,24,43,208,,,456
50,Wrought aluminum ingot,3xxx,24,44,1578,,,1368
51,Wrought aluminum ingot,4xxx,24,45,18,,,220
52,Wrought aluminum ingot,5xxx,24,46,1867,,,1701
53,Wrought aluminum ingot,6xxx,24,47,2419,,,2899
54,Wrought aluminum ingot,7xxx,24,48,431,,,1336
55,Wrought aluminum ingot,8xxx,24,49,51,,,0
56,Cast aluminum ingot,36x,25,26,140,,,
57,Cast aluminum ingot,38x,25,27,1369,,,1345
58,Cast aluminum ingot,2xx,25,28,6,,,
59,Cast aluminum ingot,3xx,25,29,568,,,
60,Cast aluminum ingot,4xx,25,30,8,,,
61,Cast aluminum ingot,5xx,25,31,45,,,
62,Cast aluminum ingot,7xx,25,32,8,,,
63,Cast aluminum ingot,Other,25,33,290,,,
64,36x,die cast,26,34,147.475925,,,
65,38x,die cast,27,34,1442.524075,,,
66,2xx,sand cast,28,36,1.923056764,,,
67,3xx,sand cast,29,36,188.1457884,,,
68,4xx,sand cast,30,36,2.6147867,,,
69,5xx,sand cast,31,36,14.8805134,,,
70,7xx,sand cast,32,36,2.662328276,,,
71,Other,sand cast,33,36,84.77352644,,,
72,2xx,permanent- & semi-permanent mold cast,28,38,3.846113527,,,
73,3xx,permanent- & semi-permanent mold cast,29,38,376.2915769,,,
74,4xx,permanent- & semi-permanent mold cast,30,38,5.229573399,,,
75,5xx,permanent- & semi-permanent mold cast,31,38,29.7610268,,,
76,7xx,permanent- & semi-permanent mold cast,32,38,5.324656552,,,
77,Other,permanent- & semi-permanent mold cast,33,38,169.5470529,,,
78,Other,other cast,33,40,40,,,
79,Cast aluminum ingot,Export cast aluminum ingot,25,97,275,,,
80,die cast,Scrap - cast,34,35,,,530,
81,Scrap - cast,die cast,35,34,,,530,
82,sand cast,Scrap sand cast,36,37,,,197,
83,Scrap sand cast,sand cast,37,36,,,197,
84,permanent- & semi-permanent mold cast,Scrap semi-permanent mold cast,38,39,,,197,
85,Scrap semi-permanent mold cast,permanent- & semi-permanent mold cast,39,38,,,197,
86,other cast,Scrap other cast,40,41,,,5,
87,Scrap other cast,other cast,41,40,,,5,
88,die cast,Export cast semifinished products,34,98,18,,,
89,1xxx,Rolling,42,51,,,556.9876021,
90,1xxx,Extrusion,42,53,,,320.259344,
91,1xxx,Drawing,42,55,,,284,
92,1xxx,Other milling processes,42,57,,,54,
93,2xxx,Rolling,43,51,,,122,
94,2xxx,Extrusion,43,53,,,108,
95,2xxx,Drawing,43,55,,,3,
96,2xxx,Other milling processes,43,57,,,6,
97,3xxx,Rolling,44,51,,,1495.144543,
98,3xxx,Extrusion,44,53,,,69.0920372,
99,3xxx,Drawing,44,55,,,56,
100,3xxx,Other milling processes,44,57,,,13.74066406,
101,4xxx,Rolling,45,51,,,24,
102,4xxx,Other milling processes,45,57,,,93,
103,5xxx,Rolling,46,51,,,1730.648911,
104,5xxx,Extrusion,46,53,,,111.527396,
105,5xxx,Drawing,46,55,,,97,
106,5xxx,Other milling processes,46,57,,,25.28481271,
107,6xxx,Rolling,47,51,,,524.1417745,
108,6xxx,Extrusion,47,53,,,1824.431791,
109,6xxx,Drawing,47,55,,,119,
110,6xxx,Other milling processes,47,57,,,6,
111,7xxx,Rolling,48,51,,,322,
112,7xxx,Extrusion,48,53,,,278,
113,7xxx,Drawing,48,55,,,3,
114,7xxx,Other milling processes,48,57,,,284,
115,8xxx,Rolling,49,51,,,7,
116,8xxx,Extrusion,49,53,,,35,
117,8xxx,Drawing,49,55,,,49,
118,8xxx,Other milling processes,49,57,,,3,
119,die cast,Building & construction,34,69,,,19,
120,die cast,Transportation auto,34,70,,,1001,
121,die cast,Transportation other,34,71,,,153,
122,die cast,Machine & industry,34,72,,,36,
123,die cast,Electrical & equipment,34,73,,,47,
124,die cast,Consumer durables,34,74,,,96,
125,die cast,Other end uses,34,76,,,74,
126,sand cast,Transportation auto,36,70,,,242,
127,sand cast,Transportation other,36,71,,,42,
128,sand cast,Machine & industry,36,72,,,6,
129,sand cast,Electrical & equipment,36,73,,,8,
130,sand cast,Consumer durables,36,74,,,16,
131,sand cast,Other end uses,36,76,,,15,
132,permanent- & semi-permanent mold cast,Transportation auto,38,70,,,483,
133,permanent- & semi-permanent mold cast,Transportation other,38,71,,,70,
134,permanent- & semi-permanent mold cast,Machine & industry,38,72,,,18,
135,permanent- & semi-permanent mold cast,Electrical & equipment,38,73,,,24,
136,permanent- & semi-permanent mold cast,Consumer durables,38,74,,,48,
137,permanent- & semi-permanent mold cast,Other end uses,38,76,,,34,
138,other cast,Other end uses,40,76,,,84,
139,Import mill semifinished products,Rolling,50,51,,,1100,
140,Import mill semifinished products,Extrusion,50,53,,,0,
141,Import mill semifinished products,Drawing,50,55,,,229.5269585,
142,Import mill semifinished products,Other milling processes,50,57,,,0,
143,Import mill semifinished products,Sheet & Plate,50,59,,,0,
144,Import mill semifinished products,Foil,50,61,,,205,
145,Import mill semifinished products,Extruded Products,50,63,,,0,
146,Import mill semifinished products,Wire,50,65,,,312,
147,Import mill semifinished products,Forging & impacts,50,66,,,0,
148,Import mill semifinished products,Powerder & Paste,50,67,,,15,
149,Rolling,Scrap Rolling,51,52,,,1600,
150,Rolling,Sheet & Plate,51,59,,,4512,
151,Rolling,Foil,51,61,,,631,
152,Rolling,Export milling semifinished products,51,99,,,1111,
153,Scrap Rolling,Forming scrap (generated),52,20,,,1600,
154,Extrusion,Scrap Extrusion,53,54,,,738,
155,Extrusion,Extruded Products,53,63,,,2444,
156,Extrusion,Export milling semifinished products,53,99,,,229,
157,Scrap Extrusion,Forming scrap (generated),54,20,,,738,
158,Drawing,Scrap Drawing,55,56,,,118,
159,Drawing,Wire,55,65,,,451,
160,Drawing,Export milling semifinished products,55,99,,,41,
161,Scrap Drawing,Forming scrap (generated),56,20,,,118,
162,Other milling processes,Scrap Other milling processes,57,58,,,209,
163,Other milling processes,Forging & impacts,57,66,,,200,
164,Other milling processes,Powerder & Paste,57,67,,,55,
165,Other milling processes,Export milling semifinished products,57,99,,,0,
166,Scrap Other milling processes,Forming scrap (generated),58,20,,,209,
167,Sheet & Plate,Scrap Sheet & Plate,59,60,,,788,
