node_id,target_node_id,share_mean,kappa
1,3,1.0,20.0
2,3,1.0,20.0
3,85,0.007526178010471204,20.0
3,86,0.049956369982547995,20.0
3,5,0.9425174520069808,20.0
4,6,1.0,20.0
5,87,0.5428897772701313,20.0
5,88,0.10633923472301542,20.0
5,89,0.17841233580810964,20.0
5,6,0.17235865219874358,20.0
6,90,0.6418559690671822,20.0
6,8,0.24456259062348962,20.0
6,9,0.11358144030932818,20.0
7,8,0.6830227743271221,20.0
7,9,0.31697722567287784,20.0
8,91,0.03959704260687479,20.0
8,24,0.9604029573931251,20.0
9,92,0.1386940938133084,20.0
9,25,0.8613059061866916,20.0
10,8,0.6782357216956831,20.0
10,9,0.32176427830431686,20.0
11,8,0.782,20.0
11,9,0.21800000000000003,20.0
12,8,0.8785012238749765,20.0
12,9,0.12149877612502355,20.0
13,8,0.7819999999999999,20.0
13,9,0.218,20.0
14,8,0.5,20.0
14,9,0.5,20.0
15,8,0.7819999999999999,20.0
15,9,0.218,20.0
16,8,0.5,20.0
16,9,0.5,20.0
17,18,1.0,20.0
18,93,0.30368973301741714,20.0
18,94,0.30928091381913475,20.0
18,19,0.3870293531634481,20.0
19,8,0.6192129629629629,20.0
19,9,0.38078703703703703,20.0
20,95,0.031613372093023256,20.0
20,21,0.9683866279069767,20.0
21,8,1.0,20.0
21,9,0.0,20.0
22,96,0.03979332073610526,20.0
22,23,0.9602066792638947,20.0
23,8,0.6800000000338305,20.0
23,9,0.31999999996616946,20.0
24,42,0.08276079420107155,20.0
24,43,0.04185313583359596,20.0
24,44,0.18569177434604475,20.0
24,45,0.015001575795776868,20.0
24,46,0.22489757327450363,20.0
24,47,0.3352032776552159,20.0
24,48,0.11137724550898204,20.0
24,49,0.0032146233848093287,20.0
25,26,0.05190952910641453,20.0
25,27,0.5031516499814609,20.0
25,28,0.002224694104560623,20.0
25,29,0.21060437523173897,20.0
25,30,0.0029662588060808304,20.0
25,31,0.01668520578420467,20.0
25,32,0.0029662588060808304,20.0
25,33,0.10752688172043011,20.0
25,97,0.10196514645902854,20.0
26,34,1.0,20.0
27,34,1.0,20.0
28,36,0.3333333333911117,20.0
28,38,0.6666666666088883,20.0
29,36,0.33333333327427744,20.0
29,38,0.6666666667257225,20.0
30,36,0.33333333337582666,20.0
30,38,0.6666666666241733,20.0
31,36,0.3333333333333333,20.0
31,38,0.6666666666666666,20.0
32,36,0.3333333333333333,20.0
32,38,0.6666666666666666,20.0
33,36,0.2880312570398598,20.0
33,38,0.5760625141476728,20.0
33,40,0.1359062288124674,20.0
34,35,0.2684903748733536,20.0
34,98,0.00911854103343465,20.0
34,69,0.009625126646403243,20.0
34,70,0.5070921985815603,20.0
34,71,0.07750759878419453,20.0
34,72,0.0182370820668693,20.0
34,73,0.023809523809523808,20.0
34,74,0.0486322188449848,20.0
34,76,0.037487335359675786,20.0
35,34,1.0,20.0
36,37,0.3745247148288973,20.0
36,70,0.4600760456273764,20.0
36,71,0.07984790874524715,20.0
36,72,0.011406844106463879,20.0
36,73,0.015209125475285171,20.0
36,74,0.030418250950570342,20.0
36,76,0.028517110266159697,20.0
37,36,1.0,20.0
38,39,0.22540045766590389,20.0
38,70,0.5526315789473685,20.0
38,71,0.08009153318077804,20.0
38,72,0.020594965675057208,20.0
38,73,0.02745995423340961,20.0
38,74,0.05491990846681922,20.0
38,76,0.038901601830663615,20.0
39,38,1.0,20.0
40,41,0.056179775280898875,20.0
40,76,0.9438202247191011,20.0
41,40,1.0,20.0
42,51,0.45833285480576447,20.0
42,53,0.2635343746616966,20.0
42,55,0.23369735748887885,20.0
42,57,0.04443541304366006,20.0
43,51,0.5104602510460251,20.0
43,53,0.45188284518828453,20.0
43,55,0.012552301255230125,20.0
43,57,0.02510460251046025,20.0
44,51,0.9150338832760949,20.0
44,53,0.04228457736649238,20.0
44,55,0.034272203114653184,20.0
44,57,0.008409336242759554,20.0
45,51,0.20512820512820512,20.0
45,57,0.7948717948717948,20.0
46,51,0.8809789583697558,20.0
46,53,0.0567725137855943,20.0
