var_idx,lower,upper
0,45.800000000000004,412.2
1,871.0,7839.0
2,6.9,62.1
3,45.800000000000004,412.2
4,864.1,7776.900000000001
5,263.0,2367.0
6,475.3,4277.7
7,93.10000000000001,837.9
8,156.20000000000002,1405.8
9,150.9,1358.1000000000001
10,265.6,2390.4
11,101.2,910.8000000000001
12,47.0,423.0
13,659.8000000000001,5938.2
14,306.2,2755.8
15,65.62105263000001,590.5894736700001
16,1591.6000000000001,14324.4
17,89.0,801.0
18,552.7,4974.3
19,33.82955136,304.46596224
20,16.049200640000002,144.44280576
21,5.28632,47.57688
22,1.47368,13.26312
23,13.997160000000001,125.97444
24,1.93584,17.42256
25,0.572424,5.151816
26,0.15957600000000002,1.4361840000000001
27,0.0,0.0
28,0.0,0.0
29,0.7022360000000001,6.320124
30,0.19576400000000002,1.761876
31,2.0,18.0
32,2.0,18.0
33,144.0,1296.0
34,314.0,2826.0
35,319.78100140000004,2878.0290126
36,400.1690004,3601.5210036000003
37,214.0,1926.0
38,131.6,1184.4
39,17.400000000000002,156.6
40,533.0,4797.0
41,535.4,4818.6
42,0.0,0.0
43,9.8,88.2
44,236.4724854,2128.2523686
45,160.80129008,1447.21161072
46,75.67119532000001,681.04075788
47,131.3,1181.7
48,66.4,597.6
49,294.6,2651.4
50,23.8,214.20000000000002
51,356.8,3211.2000000000003
52,531.8000000000001,4786.2
53,176.70000000000002,1590.3
54,5.1000000000000005,45.9
55,28.0,252.0
56,271.40000000000003,2442.6
57,1.2000000000000002,10.8
58,113.60000000000001,1022.4
59,1.6,14.4
60,9.0,81.0
61,1.6,14.4
62,58.0,522.0
63,29.495185,265.456665
64,288.504815,2596.5433350000003
65,0.38461135280000003,3.4615021752
66,37.62915768,338.66241912
67,0.5229573399999999,4.70661606
68,2.9761026800000003,26.78492412
69,0.5324656552000001,4.7921908968
70,16.954705288,152.592347592
71,0.7692227054,6.9230043486
72,75.25831538,677.32483842
73,1.0459146798,9.413232118200002
74,5.952205360000001,53.56984824
75,1.0649313104000002,9.5843817936
76,33.90941058000001,305.18469522000004
77,8.0,72.0
78,55.0,495.0
79,106.0,954.0
80,106.0,954.0
81,39.400000000000006,354.6
82,39.400000000000006,354.6
83,39.400000000000006,354.6
84,39.400000000000006,354.6
85,1.0,9.0
86,1.0,9.0
87,3.6,32.4
88,111.39752042,1002.57768378
89,64.05186880000001,576.4668192
90,56.800000000000004,511.2
91,10.8,97.2
92,24.400000000000002,219.6
93,21.6,194.4
94,0.6000000000000001,5.4
95,1.2000000000000002,10.8
96,299.0289086,2691.2601774000004
97,13.81840744,124.36566695999998
98,11.200000000000001,100.8
99,2.748132812,24.733195308000003
100,4.800000000000001,43.2
101,18.6,167.4
102,346.1297822,3115.1680398
103,22.3054792,200.74931279999998
104,19.400000000000002,174.6
105,5.056962542000001,45.512662878
106,104.82835490000001,943.4551941
107,364.8863582,3283.9772238
108,23.8,214.20000000000002
109,1.2000000000000002,10.8
110,64.4,579.6
111,55.6,500.40000000000003
112,0.6000000000000001,5.4
113,56.800000000000004,511.2
114,1.4000000000000001,12.6
115,7.0,63.0
116,9.8,88.2
117,0.6000000000000001,5.4
118,3.8000000000000003,34.2
119,200.20000000000002,1801.8
120,30.6,275.40000000000003
121,7.2,64.8
122,9.4,84.60000000000001
123,19.200000000000003,172.8
124,14.8,133.20000000000002
125,48.400000000000006,435.6
126,8.4,75.60000000000001
