node,flow_idx,share_mean,share_sd,n_out,source_year
3,2,0.00716833702289624,0.0005501146091863423,3,2017
3,3,0.049862454186204,0.011465192595054085,3,2017
3,4,0.9429692087908997,0.011495558918200798,3,2017
5,6,0.5361595903246612,0.02816810263254595,4,2017
5,7,0.10767361335032931,0.008549699041773662,4,2017
5,8,0.18055738387501138,0.01854654414803578,4,2017
5,9,0.17560941244999823,0.013572642845201155,4,2017
6,10,0.46778889314325955,0.06327385151113493,3,2017
6,11,0.38122385291310307,0.051698958154239395,3,2017
6,12,0.1509872539436374,0.039537810454176495,3,2017
7,13,0.6931672175033361,0.013996507466370298,2,2017
7,14,0.30683278249666385,0.013996507466370298,2,2017
8,15,0.016121393038384304,0.008025771017085966,2,2017
8,16,0.9838786069616158,0.008025771017085966,2,2017
9,17,0.03287371383037022,0.01532020046595039,2,2017
9,18,0.9671262861696298,0.01532020046595039,2,2017
10,19,0.7048061740245867,0.10126825273558145,2,2017
10,20,0.29519382597541327,0.10126825273558145,2,2017
12,21,0.9935650586125245,0.006208984891317458,2,2017
12,22,0.006434941387475459,0.006208984891317458,2,2017
16,23,0.5014784576000925,0.16001384462035226,2,2017
16,24,0.4985215423999075,0.16001384462035226,2,2017
18,26,0.2933167207606753,0.02732448672705284,3,2017
18,27,0.32769192345699244,0.05808024133360509,3,2017
18,28,0.37899135578233234,0.03801075307876972,3,2017
19,29,0.6885046138796663,0.0755679232688576,2,2017
19,30,0.3114953861203337,0.07556792326885758,2,2017
20,31,0.027692702904310522,0.015407818593208972,2,2017
20,32,0.9723072970956895,0.015407818593208972,2,2017
21,33,0.9998191336830294,0.00012223119672259456,2,2017
21,34,0.0001808663169705188,0.00012223119672259534,2,2017
22,35,0.044097157067939936,0.02081468514978585,2,2017
22,36,0.9559028429320601,0.02081468514978585,2,2017
23,37,0.9994949551243176,0.00031170676511717093,2,2017
23,38,0.0005050448756824789,0.0003117067651171707,2,2017
24,39,0.15297061975109505,0.046184253582349705,9,2017
24,40,0.015822787998753425,0.00353158513861497,9,2017
24,41,0.18664970495394834,0.054332828693589866,9,2017
24,42,0.008493692414802786,0.002255515603922307,9,2017
24,43,0.24015753742857857,0.07131160866637057,9,2017
24,44,0.3193603112965978,0.05206412686374125,9,2017
24,45,0.05157819362806544,0.008389255450399879,9,2017
24,46,0.007932849242688727,0.0022143505810460844,9,2017
24,71,0.017034303285469895,0.015127131404802674,9,2017
25,47,0.054647715501922815,0.00431280672321315,9,2017
25,48,0.4978707619010817,0.02085962268302507,9,2017
