node,throughput_mean,residual_mean,residual_q2.5,residual_q97.5,residual_pct_mean,residual_pct_q2.5,residual_pct_q97.5,imbalance_pct_mean,imbalance_pct_median,n_inflows,n_outflows
3,4602.259072565777,-0.9127529705623699,-90.4830310591996,91.05680582255957,-0.015855127944512354,-1.9421394033416715,1.9754099726688832,0.8010422375580831,0.6725393725336495,2,3
5,4340.398559899531,-0.0953994432694766,-85.7527219809769,85.5119016272606,0.002323039842459844,-1.952989190815685,1.9855165141264772,0.7952146730033283,0.6719279769861597,1,4
6,2083.247623308517,-0.8960894506008652,-41.075555823093644,39.49596170245382,-0.03828558894977075,-1.9453451270342357,1.9011111380591874,0.7840420060874326,0.6640496057909708,2,3
8,9945.415747402318,-103.81180076845078,-287.9381004313618,86.74631212583134,-1.0439872492958164,-2.9349877886937485,0.873247550110449,1.1845325752407094,1.0756114255494018,8,2
9,2703.73731689801,-7.865276152280703,-62.085518613742735,46.45818200183886,-0.2941757186244014,-2.3489134649807935,1.707661703378072,0.8426914897221952,0.7064779057472144,8,2
18,5418.584480524232,2.559508989357466,-101.34758427956103,101.96980258910004,0.04603939507993416,-1.8998459909990169,1.8942078475487782,0.7680873607871915,0.6471215120404685,9,3
19,2043.3905961436067,-3.5115895075965846,-41.239420920059416,33.935345419973665,-0.1687766070342488,-1.9949904347536223,1.7125483402564958,0.7622321513584932,0.6522520646665884,1,2
20,2781.1767006439013,-8.218048398607877,-62.755812339163775,47.65160687430409,-0.30436140686284907,-2.4757624270927514,1.8304962760981753,0.8722416293248596,0.71614416094633,4,2
21,2715.7219371652213,-7.792909510207066,-59.248808857962985,45.17278063778941,-0.3015045998210175,-2.4220904476350222,1.8527041476312849,0.8627952368469162,0.702388318139614,1,2
22,963.5295306695737,-1.5548540699476086,-20.11232161251925,17.298379686126992,-0.15887063207080754,-2.0939401690081647,1.7859017825756607,0.8096225620771399,0.6966165994557343,3,2
23,922.3539977665581,-0.9921761766047695,-19.213528829264835,17.78167287777376,-0.10267129884808136,-2.072744714879587,1.9368680514124899,0.8211553784033292,0.6967624142005319,1,2
24,9890.432775015131,-105.67748311844235,-288.47849338804315,74.70953354601177,-1.06905498539679,-2.949771367955228,0.7657710383855234,1.1954890471943838,1.1007041551078622,1,9
25,2621.7765845207664,-7.300957849802899,-59.28190519387088,45.02345064059362,-0.28096701724523754,-2.291315003021098,1.7081599595730472,0.8324599767300224,0.6963483626039677,1,9
26,143.26451904086372,-0.039075306163637136,-2.8986731665267436,2.7656011074756517,-0.02817942469252934,-2.0200847024929867,1.9413988795280872,0.7948066355322834,0.6744383077432581,1,1
27,1309.043490809883,-1.2829295601457917,-27.640707355432205,25.250363570458447,-0.0970197131968939,-2.1180943518851816,1.927978394574022,0.8206869124805588,0.6890895619600614,1,1
28,5.8058057372709495,-0.000619901308632075,-0.11364167459222341,0.11621548025569292,-0.011655092418073077,-1.9650075772556563,1.9931525058962094,0.8082733241651864,0.681679668606729,1,2
29,557.0428056627776,-0.15031892284106216,-10.94540512639656,10.68148545161761,-0.029301047688870097,-1.9494448338734545,1.9255232819588723,0.8012410553698465,0.686376715878571,1,2
30,7.8890879662250795,-0.0009276868502438715,-0.1545812040944373,0.15163551271937525,-0.013486445613920177,-1.9692547871741455,1.9167911048291162,0.7927674180839669,0.6636981826698444,1,2
31,44.86558817985268,-0.0054861179775979405,-0.8692165204377958,0.856773415136375,-0.013561561904471657,-1.9395929030472887,1.9203249704365963,0.7915212127690959,0.6709198119971209,1,2
32,8.028014075238453,0.0009286573658784567,-0.1512210913240155,0.1549522542900143,0.010209495637042671,-1.896363468350199,1.9340588843049593,0.7913874555908575,0.6719349510467081,1,2
33,281.1973490244419,0.057981462190687096,-5.412184962487315,5.5963209337178625,0.01793881827082591,-1.9373020100103375,1.981657785118151,0.7999208685743293,0.6850291344006543,1,3
34,1984.3765445923655,0.0038500983816047666,-39.91981370079757,40.13485429432274,0.005626496728508847,-2.0212501945359658,2.087228636677306,0.8202796869379992,0.682580379397417,3,9
35,531.3494100877381,-0.06958743021696775,-10.451693142095625,10.291075816721518,-0.023001606466171894,-2.8342233412385514,2.7850902115398823,0.9679162725022527,0.6956528763636982,1,1
36,492.1972516159702,-0.0032605629325491493,-9.574965361117602,9.480835005206355,0.004715884813781239,-1.997312629990931,2.0393666666354378,0.812570644071972,0.6796168029517002,7,7
37,197.44357845019687,-0.04311050138437048,-3.9923646775856887,3.7433244431563084,-0.02703340079097763,-2.8809608693904956,2.8352959912127376,0.9742283277104977,0.6980739006788607,1,1
38,782.3261694335423,0.15028719511867827,-15.007706973496633,15.538302315900857,0.0241129611712578,-1.9198810188948718,2.0245236972072154,0.7974484670281538,0.6695746112826123,7,7
39,197.51944024580723,-0.03882494091367497,-3.8679540976653954,3.790684396765366,-0.008457923231199801,-2.860477877942158,2.884733170275288,0.9901909791453949,0.714375767682441,1,1
40,42.267152853504186,-0.012170512927069143,-0.8275888801756734,0.7889505165570557,-0.028222307570655948,-2.057485855821865,1.982998217035162,0.8048931044647978,0.6686058001027049,2,2
41,17.020927040255245,-0.002405478035043403,-0.3402474207716587,0.3375115289481775,-0.025500887338637437,-2.9467588956629216,2.8404752338152197,0.9788658420686638,0.6867189713465341,1,1
42,1516.5035835507442,-2.562797698556141,-33.18860765579302,27.392520615371208,-0.19790982622798128,-2.754367373522625,2.226156452070923,0.9129576776328788,0.6950925196507607,1,4
