flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,1075.6799999999998,0.8099999999999998
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,441.9066666666667,0.8733333333333334
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,205.23333333333335,0.8733333333333334
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,387.9438596491228,0.8733333333333334
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,185.14666666666668,0.8733333333333334
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,6836.4,0.8099999999999999
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,691.6800000000001,0.8733333333333334
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,85.58666666666667,0.8733333333333334
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,3177.0,1.0
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,1903.4999999999998,0.8099999999999999
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,201.74,0.8733333333333334
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,96.06666666666668,0.8733333333333334
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,61.5962,0.8733333333333334
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.8733333333333334,873333333.3333334
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,17.46666666666667,0.8733333333333334
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,17.46666666666667,0.8733333333333334
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,1259.55,0.8099999999999999
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,195.72666666666672,0.11333333333333336
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,934.4666666666667,0.8733333333333334
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,574.6533333333334,0.8733333333333335
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,75.98,0.8733333333333334
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,2327.4333333333334,0.8733333333333334
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,2677.0,1.0
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,42.79333333333334,0.8733333333333334
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,110.04666666666668,0.11333333333333334
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,922.0,1.0
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,2336.0,1.0
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,1509.1200000000001,0.8733333333333334
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,85.0,1.0
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,207.85333333333335,0.8733333333333334
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,1256.0,1.0
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,2487.2533333333336,0.8733333333333334
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,50.0,1.0
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,102.18,0.8733333333333334
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,3047.0,1.0
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,2412.146666666667,0.8733333333333334
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,3771.0,1.0
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,2810.3866666666668,0.8733333333333334
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,254.0,1.0
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,774.6466666666668,0.8733333333333334
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,267.0,1.0
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,82.09333333333333,0.8733333333333333
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
53,cast_aluminum_ingot -> 7xx,USGS value 1,8.033237140927826,,,,0.8033237140927826,0.1
54,cast_aluminum_ingot -> other,USGS value 1,289.7703397263251,,,,28.977033972632512,0.1
55,36x -> die_cast,USGS value 1,147.475924987329,,,,14.7475924987329,0.1
56,38x -> die_cast,USGS value 1,1442.524075012671,,,,144.2524075012671,0.1
57,2xx -> sand_cast,USGS value 1,1.923056763564638,,,,0.1923056763564638,0.1
58,3xx -> sand_cast,USGS value 1,188.1457884253907,,,,18.81457884253907,0.1
59,4xx -> sand_cast,USGS value 1,2.614786699531646,,,,0.2614786699531646,0.1
60,5xx -> sand_cast,USGS value 1,14.88051339915282,,,,1.4880513399152822,0.1
61,7xx -> sand_cast,USGS value 1,2.662328275886768,,,,0.26623282758867683,0.1
62,other -> sand_cast,USGS value 1,84.77352643647342,,,,8.477352643647341,0.09999999999999999
63,2xx -> permanent_semi_permanent_mold_cast,USGS value 1,3.846113527129276,,,,0.3846113527129276,0.1
64,3xx -> permanent_semi_permanent_mold_cast,USGS value 1,376.2915768507814,,,,37.62915768507814,0.1
65,4xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.229573399063292,,,,0.5229573399063292,0.1
66,5xx -> permanent_semi_permanent_mold_cast,USGS value 1,29.76102679830564,,,,2.9761026798305643,0.1
67,7xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.324656551773534,,,,0.5324656551773533,0.09999999999999999
68,other -> permanent_semi_permanent_mold_cast,USGS value 1,169.5470528729468,,,,16.954705287294683,0.10000000000000002
69,other -> other_cast,USGS value 1,25.0,,,,2.5,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,USGS value 1,275.0,4.0,3.0,4.0,31.16666666666667,0.11333333333333336
72,die_cast -> scrap_cast,USGS value 1,530.0,1.0,1.0,3.0,462.86666666666673,0.8733333333333334
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,462.86666666666673,0.8733333333333334
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,172.04666666666668,0.8733333333333334
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,172.04666666666668,0.8733333333333334
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,172.04666666666668,0.8733333333333334
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,172.04666666666668,0.8733333333333334
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,14.846666666666668,0.8733333333333334
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,14.846666666666668,0.8733333333333334
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,2.0400000000000005,0.11333333333333336
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,974.6400000000001,0.8733333333333334
82,1xxx -> extrusion,USGS value 1,274.0,1.0,1.0,3.0,239.29333333333335,0.8733333333333334
83,1xxx -> drawing,USGS value 1,284.0,1.0,1.0,3.0,248.0266666666667,0.8733333333333334
84,1xxx -> other_milling_processes,USGS value 1,54.0,1.0,1.0,3.0,47.160000000000004,0.8733333333333334
85,2xxx -> rolling,USGS value 1,122.0,1.0,1.0,3.0,106.54666666666668,0.8733333333333334
86,2xxx -> extrusion,USGS value 1,108.0,1.0,1.0,3.0,94.32000000000001,0.8733333333333334
87,2xxx -> drawing,USGS value 1,3.0,1.0,1.0,3.0,2.62,0.8733333333333334
88,2xxx -> other_milling_processes,USGS value 1,6.0,1.0,1.0,3.0,5.24,0.8733333333333334
89,3xxx -> rolling,USGS value 1,2417.0,1.0,1.0,3.0,2110.846666666667,0.8733333333333334
90,3xxx -> extrusion,USGS value 1,358.0,1.0,1.0,3.0,312.65333333333336,0.8733333333333334
91,3xxx -> drawing,USGS value 1,56.0,1.0,1.0,3.0,48.90666666666667,0.8733333333333334
92,3xxx -> other_milling_processes,USGS value 1,18.0,1.0,1.0,3.0,15.72,0.8733333333333334
93,4xxx -> rolling,USGS value 1,24.0,1.0,1.0,3.0,20.96,0.8733333333333334
94,4xxx -> other_milling_processes,USGS value 1,93.0,1.0,1.0,3.0,81.22000000000001,0.8733333333333335
95,5xxx -> rolling,USGS value 1,2472.0,1.0,1.0,3.0,2158.88,0.8733333333333334
96,5xxx -> extrusion,USGS value 1,169.0,1.0,1.0,3.0,147.59333333333333,0.8733333333333333
97,5xxx -> drawing,USGS value 1,97.0,1.0,1.0,3.0,84.71333333333334,0.8733333333333334
98,5xxx -> other_milling_processes,USGS value 1,23.0,1.0,1.0,3.0,20.08666666666667,0.8733333333333334
99,6xxx -> rolling,USGS value 1,1007.0,1.0,1.0,3.0,879.4466666666667,0.8733333333333334
100,6xxx -> extrusion,USGS value 1,2087.0,1.0,1.0,3.0,1822.6466666666668,0.8733333333333334
101,6xxx -> drawing,USGS value 1,119.0,1.0,1.0,3.0,103.92666666666668,0.8733333333333334
102,6xxx -> other_milling_processes,USGS value 1,6.0,1.0,1.0,3.0,5.24,0.8733333333333334
103,7xxx -> rolling,USGS value 1,322.0,1.0,1.0,3.0,281.21333333333337,0.8733333333333334
104,7xxx -> extrusion,USGS value 1,278.0,1.0,1.0,3.0,242.7866666666667,0.8733333333333334
105,7xxx -> drawing,USGS value 1,3.0,1.0,1.0,3.0,2.62,0.8733333333333334
106,7xxx -> other_milling_processes,USGS value 1,284.0,1.0,1.0,3.0,248.0266666666667,0.8733333333333334
107,8xxx -> rolling,USGS value 1,7.0,1.0,1.0,3.0,6.113333333333334,0.8733333333333334
108,8xxx -> extrusion,USGS value 1,35.0,1.0,1.0,3.0,30.56666666666667,0.8733333333333334
109,8xxx -> drawing,USGS value 1,49.0,1.0,1.0,3.0,42.79333333333334,0.8733333333333334
110,8xxx -> other_milling_processes,USGS value 1,3.0,1.0,1.0,3.0,2.62,0.8733333333333334
111,die_cast -> building_construction,USGS value 1,19.0,1.0,1.0,3.0,16.593333333333334,0.8733333333333334
112,die_cast -> transportation_auto,USGS value 1,1001.0,1.0,1.0,3.0,874.2066666666667,0.8733333333333334
113,die_cast -> transportation_other,USGS value 1,153.0,1.0,1.0,3.0,133.62,0.8733333333333334
114,die_cast -> machine_industry,USGS value 1,36.0,1.0,1.0,3.0,31.44,0.8733333333333334
