node,n_out,n_observed,status,quality_index,total_value,total_sigma,kappa,total_map,kappa_likelihood
1,1,1,fully_observed,0.811106480889274,229.0,52.54378508253844,162.59908321607625,230.07420292769552,162.59908321607625
2,1,1,fully_observed,1.0,4354.988518958877,153.97219716612727,200.0,4364.311015658359,200.0
3,3,3,fully_observed,0.8563137357436253,4582.2897245020695,1126.7199552451984,171.55011967723783,4595.211299473425,171.55011967723783
4,1,1,fully_observed,1.0,1314.6578391974328,46.48319746275594,200.0,1318.5344694548205,200.0
5,4,4,fully_observed,0.9223492833178235,4375.832132438245,626.6708007944108,184.62515809692906,4336.251252895688,184.62515809692906
6,3,3,fully_observed,0.4210914868269007,2069.0,631.5144394679178,85.37611439172633,2093.2304416358484,85.37611439172633
7,2,2,fully_observed,1.0,4830.0,181.84720234306604,200.0,4989.408941924005,200.0
8,2,2,fully_observed,0.576177271940922,8695.078381507712,3112.3367235147257,116.08309984430257,8951.19922180049,116.08309984430257
9,2,2,fully_observed,0.5322161953824304,2515.632441341128,838.1846155307272,107.37880668572122,2781.4589071767473,107.37880668572122
10,2,2,fully_observed,0.29921783543195046,341.0,183.12534723505976,61.24513141552619,502.1112587220183,61.24513141552619
12,2,2,fully_observed,0.14960891771597523,70.53,50.48643154138388,31.622565707763094,83.7856857276033,31.622565707763094
16,2,2,fully_observed,0.29921783543195035,40.0,20.244270748997984,61.24513141552617,41.88458846110782,61.24513141552617
17,1,1,fully_observed,1.0,720.0000000000001,36.0,200.0,719.6834302350201,200.0
18,3,3,fully_observed,0.8717387972216738,4852.0,602.0657378911991,174.6042818498914,5534.786650196563,174.6042818498914
19,2,2,fully_observed,0.29921783543195046,1728.0,899.0667308011227,61.24513141552619,2147.6463430795775,61.24513141552619
20,2,2,fully_observed,0.29921783543195046,2752.0,1908.4713833412554,61.24513141552619,2277.943489663547,61.24513141552619
21,2,2,fully_observed,0.0,2677.0,2677.0001867762358,2.0,2221.2741725654764,2.0
22,2,2,fully_observed,0.6247977187400853,1020.0,100.63326936033647,125.70994831053689,926.4671421735077,125.70994831053689
23,2,2,fully_observed,0.0,922.0,922.0005422991898,2.0,883.9866950642219,2.0
24,9,8,partially_observed,0.39547165968049847,,,80.3033886167387,8816.156509966833,80.3033886167387
25,9,9,fully_observed,0.947702774496586,2708.3649999999993,154.0879151500566,189.64514935032403,2676.805190700853,189.64514935032403
