flow_idx,from_node,from_node_name,to_node_name,share_map,share_observed
76,38,permanent_semi_permanent_mold_cast,scrap_semi_permanent_mold_cast,0.2305618845559988,0.22540045766590389
77,39,scrap_semi_permanent_mold_cast,permanent_semi_permanent_mold_cast,1.0,
78,40,other_cast,scrap_other_cast,0.17714691932226567,0.16831683168316833
79,41,scrap_other_cast,other_cast,1.0,
80,34,die_cast,export_cast_semifinished_products,0.009116565729217102,0.00911854103343465
81,42,1xxx,rolling,0.6600895753408313,0.6458333333333334
82,42,1xxx,extrusion,0.16396143541164046,0.15856481481481483
83,42,1xxx,drawing,0.1420921829578958,0.16435185185185186
84,42,1xxx,other_milling_processes,0.03385680628963244,0.03125
85,43,2xxx,rolling,0.5098190134530706,0.510460251046025
86,43,2xxx,extrusion,0.45274140611210884,0.45188284518828453
87,43,2xxx,drawing,0.0119364543587597,0.012552301255230125
88,43,2xxx,other_milling_processes,0.025503126076060947,0.02510460251046025
89,44,3xxx,rolling,0.8493285600503849,0.8483678483678484
90,44,3xxx,extrusion,0.1305331399546827,0.12565812565812565
91,44,3xxx,drawing,0.012505951050380142,0.019656019656019656
92,44,3xxx,other_milling_processes,0.0076323489445523154,0.006318006318006318
93,45,4xxx,rolling,0.2037090332303402,0.20512820512820512
94,45,4xxx,other_milling_processes,0.7962909667696597,0.7948717948717948
95,46,5xxx,rolling,0.9036486437959025,0.8953277797899312
96,46,5xxx,extrusion,0.0644337582602676,0.06120970662803332
97,46,5xxx,drawing,0.021500181166045584,0.03513219847881202
98,46,5xxx,other_milling_processes,0.010417416777784383,0.00833031510322347
99,47,6xxx,rolling,0.30257637302784535,0.3128300714507611
100,47,6xxx,extrusion,0.6781434606752279,0.6483379931655794
101,47,6xxx,drawing,0.016344474056437124,0.036968002485243866
102,47,6xxx,other_milling_processes,0.0029356922404895763,0.001863932898415657
103,48,7xxx,rolling,0.355017303815831,0.36302142051860203
104,48,7xxx,extrusion,0.3101195583732715,0.3134160090191657
105,48,7xxx,drawing,0.0027829866982196595,0.0033821871476888386
106,48,7xxx,other_milling_processes,0.3320801511126779,0.3201803833145434
107,49,8xxx,rolling,0.07546486302611986,0.07446808510638298
108,49,8xxx,extrusion,0.37805980466728334,0.3723404255319149
109,49,8xxx,drawing,0.5138480006418923,0.5212765957446809
110,49,8xxx,other_milling_processes,0.03262733166470467,0.031914893617021274
111,34,die_cast,building_construction,0.009674373423791086,0.009625126646403243
112,34,die_cast,transportation_auto,0.5079821295833831,0.5070921985815603
