node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,3984.2463464106995,79.684926928214,-0.005231602396449506,0.00025094059051148694,0.005231602396449506,-0.2615801198224753
3,3,3,0.049862454186204,0.011465192595054085,0.02,3984.2463464106995,79.684926928214,0.0012740178580993122,0.008113738375325436,0.006624537009161769,0.06370089290496561
3,4,3,0.9429692087908997,0.011495558918200798,0.02,3984.2463464106995,79.684926928214,0.003957584538350235,0.008118260005299693,0.007236475847018254,0.19787922691751175
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3784.941337571323,106.61461605487477,0.024434788085685288,0.015905752366628705,0.025275259652848305,0.8674630451485532
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3784.941337571323,75.69882675142647,-0.04455272453755825,0.004925782107623466,0.04455272453755825,-2.2276362268779124
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3784.941337571323,75.69882675142647,0.018663705887198564,0.011203209434283786,0.019122813072220846,0.9331852943599281
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3784.941337571323,75.69882675142647,0.001454230564674397,0.009610152734152465,0.007714549329262359,0.07271152823371985
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,1970.4841761541038,124.68012316701581,0.03563705345596183,0.024421681085383666,0.03722319091400769,0.5632192857691052
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,1970.4841761541038,101.8719789665819,-0.02796962734152221,0.028904829851180033,0.033355401250578204,-0.5410094969047003
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,1970.4841761541038,77.90862985973509,-0.007667426114439627,0.02504730058248958,0.020998266759001606,-0.19392642198348375
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4577.479811453605,91.54959622907211,-0.009243291432564743,0.008357364343878841,0.010373438118210303,-0.46216457162823715
7,14,2,0.30683278249666385,0.013996507466370298,0.02,4577.479811453605,91.54959622907211,0.009243291432564787,0.00835736434387884,0.010373438118210334,0.4621645716282393
8,15,2,0.016121393038384304,0.008025771017085966,0.02,8184.864834600247,163.69729669200495,-0.004427183049443718,0.007330068574932586,0.007171069919953069,-0.22135915247218588
8,16,2,0.9838786069616158,0.008025771017085966,0.02,8184.864834600247,163.69729669200495,0.004427183049443628,0.007330068574932587,0.007171069919953046,0.2213591524721814
9,17,2,0.03287371383037022,0.01532020046595039,0.02,2681.7558749492605,53.63511749898521,0.002067074855245812,0.011001997774031798,0.009027241385155533,0.1033537427622906
9,18,2,0.9671262861696298,0.01532020046595039,0.02,2681.7558749492605,53.63511749898521,-0.002067074855245847,0.011001997774031798,0.00902724138515554,-0.10335374276229235
10,19,2,0.7048061740245867,0.10126825273558145,0.10126825273558145,468.8752271732135,47.48217500683015,-0.023973449851292555,0.05700405083130458,0.04909962524923744,-0.23673213671306173
10,20,2,0.29519382597541327,0.10126825273558145,0.10126825273558145,468.8752271732135,47.48217500683015,0.023973449851292662,0.05700405083130459,0.04909962524923747,0.23673213671306279
12,21,2,0.9935650586125245,0.006208984891317458,0.02,101.29706820455503,2.025941364091101,0.002126227013198793,0.0034622315830268916,0.003338100295900993,0.10631135065993964
12,22,2,0.006434941387475459,0.006208984891317458,0.02,101.29706820455503,2.025941364091101,-0.002126227013198783,0.0034622315830268894,0.0033381002959009852,-0.10631135065993914
16,23,2,0.5014784576000925,0.16001384462035226,0.16001384462035226,44.82754010865722,7.173027037659285,-0.043822420030959285,0.09283208978937221,0.08174427151414239,-0.2738664278389914
16,24,2,0.4985215423999075,0.16001384462035226,0.16001384462035226,44.82754010865722,7.173027037659285,0.04382242003095937,0.09283208978937223,0.08174427151414246,0.2738664278389919
18,26,3,0.2933167207606753,0.02732448672705284,0.02732448672705284,5011.804645433304,136.94498951272408,0.029111986349576326,0.016468755514385244,0.02966663438759714,1.0654175004412345
18,27,3,0.32769192345699244,0.05808024133360509,0.05808024133360509,5011.804645433304,291.0868233236494,-0.000552475047418685,0.031198886654219077,0.024852878011758017,-0.009512271897173132
18,28,3,0.37899135578233234,0.03801075307876972,0.03801075307876972,5011.804645433304,190.50246885659635,-0.028559511302157725,0.02183104589070313,0.03040253066400168,-0.7513534720812771
19,29,2,0.6885046138796663,0.0755679232688576,0.0755679232688576,1743.3451633023476,131.74097353156583,-0.025708154858482456,0.0428424203702822,0.040054460959485644,-0.3401993034401288
19,30,2,0.3114953861203337,0.07556792326885758,0.07556792326885758,1743.3451633023476,131.7409735315658,0.025708154858482456,0.0428424203702822,0.040054460959485644,0.3401993034401289
20,31,2,0.027692702904310522,0.015407818593208972,0.02,1874.0685508650085,37.48137101730017,-0.0013524502220120525,0.011972573456892009,0.00968039639730301,-0.06762251110060262
