flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0010765646803161514,0.3279608296744773,0.5257515702733448,0.14628760005217786,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,prior-informed,197.99994729867805,39.93627100613687,229.89165605096335,63.19658473332025,0.600655411250533,-0.5046429152281463
1,import_of_bauxite -> bauxite,0.0005395359284850101,0.06890384766602344,0.6392007380163269,0.29189541431764976,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,prior-informed,3734.075821415498,109.63062158017894,4353.45381563838,181.6023479782521,0.6355643666506317,-3.4106276770003854
2,bauxite -> export_bauxite,3.080556777536754,0.955565926918261,0.04428697146625337,5.1123246464010637e-05,9.597836902156894e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.080601215393614,0.5683853336701368,32.82196449108579,2.757666018073857,0.9575182507432595,-9.334474554562522
3,bauxite -> bauxite_non_aluminum_use,0.001360966131852055,0.2594267685958142,0.4174885927641147,0.11571784168506387,0.20736679695500723,0.0,1,observation_2022,164.00915,164.00915,0.0,prior-informed,199.31753596035728,32.70758528737167,228.35278509822302,63.80389905484051,0.7372138171518926,-0.45507013784391875
4,bauxite -> bauxite_refining_to_alumina,0.0010183997846209888,0.0006724173095907565,0.6724318920896146,0.3260002847064152,0.0008954058943796487,0.0,1,observation_2022,3280.183,3280.183,0.0,prior-informed,3689.1488858126604,116.73000608400322,4323.083475070617,204.95452383237895,0.6756230402822064,-3.0930499966734915
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0026031133282248924,0.0,0.7526561994841117,0.2473438005158883,0.0,0.0,0,,,,,prior-informed,1299.2142769504462,53.163234911788706,1316.6145607598844,56.47715628035028,0.11391138533573286,-0.30809419162437796
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005716533153562923,0.003960035488175855,0.6347500053669898,0.3052734090035633,0.056016550141271104,0.0,1,observation_2022,1804.10065,1804.10065,0.0,prior-informed,2056.8001782998094,108.72919329038189,2320.9555161767867,236.55698831640098,0.7887383016359221,-1.1166668114816491
7,bauxite_refining_to_alumina -> export_alumina,0.004852895910737985,0.7212617496939312,0.20665238915677517,0.03596008642197857,0.03612577472731505,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,225.85196812694042,15.049536885948948,464.77139522715703,39.384366033577514,0.8539846366975772,-6.066351985874892
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0009928857210643573,0.1924927527698854,0.48079572421633204,0.17576096890579904,0.15095055410798353,0.0,1,observation_2022,744.628,744.628,0.0,prior-informed,732.1450941739239,44.41687749257658,779.4436423141839,91.43173699477364,0.7640053770500428,-0.517309959264622
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0036074123847159544,0.09453180805835741,0.6365834643495701,0.2268591480117543,0.0420255795803182,0.0,1,observation_2022,557.45435,557.45435,0.0,prior-informed,648.8804670200249,34.450370673937364,758.0083207957487,61.8228600429095,0.6894799744026245,-1.7651699339044042
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002320397666395542,0.0017347531647033613,0.7052789117693711,0.27747999970059994,0.015506335365325629,0.0,1,observation_2022,1352.934,1352.934,0.0,prior-informed,978.9107656385385,69.947980661308,971.9884845900453,174.8128400313935,0.8398954384337567,0.039598241452115254
