Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Indicator
121,die cast,Transportation other,34,71,1
122,die cast,Machine & industry,34,72,1
123,die cast,Electrical & equipment,34,73,1
124,die cast,Consumer durables,34,74,1
125,die cast,Other end uses,34,76,1
126,sand cast,Transportation auto,36,70,1
127,sand cast,Transportation other,36,71,1
128,sand cast,Machine & industry,36,72,1
129,sand cast,Electrical & equipment,36,73,1
130,sand cast,Consumer durables,36,74,1
131,sand cast,Other end uses,36,76,1
132,permanent- & semi-permanent mold cast,Transportation auto,38,70,1
133,permanent- & semi-permanent mold cast,Transportation other,38,71,1
134,permanent- & semi-permanent mold cast,Machine & industry,38,72,1
135,permanent- & semi-permanent mold cast,Electrical & equipment,38,73,1
136,permanent- & semi-permanent mold cast,Consumer durables,38,74,1
137,permanent- & semi-permanent mold cast,Other end uses,38,76,1
138,other cast,Other end uses,40,76,1
139,Import mill semifinished products,Rolling,50,51,1
140,Import mill semifinished products,Extrusion,50,53,0
141,Import mill semifinished products,Drawing,50,55,1
142,Import mill semifinished products,Other milling processes,50,57,0
143,Import mill semifinished products,Sheet & Plate,50,59,0
144,Import mill semifinished products,Foil,50,61,1
145,Import mill semifinished products,Extruded Products,50,63,0
146,Import mill semifinished products,Wire,50,65,1
147,Import mill semifinished products,Forging & impacts,50,66,0
148,Import mill semifinished products,Powerder & Paste,50,67,1
149,Rolling,Scrap Rolling,51,52,1
150,Rolling,Sheet & Plate,51,59,1
151,Rolling,Foil,51,61,1
152,Rolling,Export milling semifinished products,51,99,1
153,Scrap Rolling,Forming scrap (generated),52,20,1
154,Extrusion,Scrap Extrusion,53,54,1
155,Extrusion,Extruded Products,53,63,1
156,Extrusion,Export milling semifinished products,53,99,1
157,Scrap Extrusion,Forming scrap (generated),54,20,1
158,Drawing,Scrap Drawing,55,56,1
159,Drawing,Wire,55,65,1
160,Drawing,Export milling semifinished products,55,99,1
161,Scrap Drawing,Forming scrap (generated),56,20,1
162,Other milling processes,Scrap Other milling processes,57,58,1
163,Other milling processes,Forging & impacts,57,66,1
164,Other milling processes,Powerder & Paste,57,67,1
165,Other milling processes,Export milling semifinished products,57,99,0
166,Scrap Other milling processes,Forming scrap (generated),58,20,1
167,Sheet & Plate,Scrap Sheet & Plate,59,60,1
168,Sheet & Plate,Building & construction,59,69,1
169,Sheet & Plate,Transportation auto,59,70,1
170,Sheet & Plate,Transportation other,59,71,1
171,Sheet & Plate,Machine & industry,59,72,1
172,Sheet & Plate,Electrical & equipment,59,73,1
173,Sheet & Plate,Consumer durables,59,74,1
174,Sheet & Plate,Container & packages,59,75,1
175,Sheet & Plate,Other end uses,59,76,1
176,Scrap Sheet & Plate,Fabrication scrap (generated),60,22,1
177,Foil,Scrap Foil,61,62,1
178,Foil,Building & construction,61,69,1
179,Foil,Transportation auto,61,70,1
180,Foil,Transportation other,61,71,1
181,Foil,Machine & industry,61,72,1
182,Foil,Electrical & equipment,61,73,1
183,Foil,Consumer durables,61,74,1
184,Foil,Container & packages,61,75,1
185,Foil,Other end uses,61,76,1
186,Scrap Foil,Fabrication scrap (generated),62,22,1
187,Extruded Products,Scrap Extruded Products,63,64,1
188,Extruded Products,Building & construction,63,69,1
189,Extruded Products,Transportation auto,63,70,1
190,Extruded Products,Transportation other,63,71,1
191,Extruded Products,Machine & industry,63,72,1
192,Extruded Products,Electrical & equipment,63,73,1
193,Extruded Products,Consumer durables,63,74,1
194,Extruded Products,Other end uses,63,76,1
195,Scrap Extruded Products,Fabrication scrap (generated),64,22,1
196,Wire,Building & construction,65,69,1
197,Wire,Transportation other,65,71,1
198,Wire,Machine & industry,65,72,1
199,Wire,Electrical & equipment,65,73,1
200,Wire,Consumer durables,65,74,1
201,Wire,Other end uses,65,76,1
202,Forging & impacts,Transportation auto,66,70,1
203,Forging & impacts,Transportation other,66,71,1
204,Forging & impacts,Machine & industry,66,72,1
205,Forging & impacts,Electrical & equipment,66,73,1
206,Forging & impacts,Consumer durables,66,74,1
207,Forging & impacts,Container & packages,66,75,0
208,Forging & impacts,Other end uses,66,76,1
209,Powerder & Paste,Other end uses,67,76,1
210,Import finished consumption,Building & construction,68,69,1
211,Import finished consumption,Transportation auto,68,70,1
212,Import finished consumption,Transportation other,68,71,1
213,Import finished consumption,Machine & industry,68,72,1
214,Import finished consumption,Electrical & equipment,68,73,1
