node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,3903.0908541863046,78.0618170837261,-0.005364596629697063,0.00019983124265810255,0.005364596629697063,-0.26822983148485313
3,3,3,0.049862454186204,0.011465192595054085,0.02,3903.0908541863046,78.0618170837261,-0.0018383097662778248,0.005672130553402861,0.0047587683923999416,-0.09191548831389124
3,4,3,0.9429692087908997,0.011495558918200798,0.02,3903.0908541863046,78.0618170837261,0.007202906395974892,0.005696091632532826,0.007750977299359484,0.3601453197987446
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3720.4037238103156,104.7967139267951,0.03563498491361685,0.013862562346058857,0.03568250448814849,1.2650828981446385
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3720.4037238103156,74.40807447620631,-0.05300515348524275,0.0036204180628655372,0.05300515348524275,-2.6502576742621375
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3720.4037238103156,74.40807447620631,0.02503779671698944,0.00852737163315377,0.025041126813512497,1.251889835849472
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3720.4037238103156,74.40807447620631,-0.007667628145363615,0.007217371701185233,0.008830633912032797,-0.38338140726818076
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,1935.3930412409911,122.45977190716631,0.032032237713688225,0.02302451722632419,0.03368830327755714,0.5062476354557173
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,1935.3930412409911,100.05780385112412,-0.03419599159467059,0.027284271405033964,0.03707068350323303,-0.6614445013118019
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,1935.3930412409911,76.5212032189185,0.002163753880982344,0.022752134497262856,0.0183797791809352,0.05472619389204898
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4614.133296800808,92.28266593601617,-0.008940433908357817,0.008635776071841138,0.010274675718254501,-0.44702169541789083
7,14,2,0.30683278249666385,0.013996507466370298,0.02,4614.133296800808,92.28266593601617,0.00894043390835785,0.00863577607184114,0.010274675718254524,0.4470216954178925
8,15,2,0.016121393038384304,0.008025771017085966,0.02,8162.5483631819925,163.25096726363986,-0.005992627348143078,0.00691720108040481,0.00781281240564099,-0.2996313674071539
8,16,2,0.9838786069616158,0.008025771017085966,0.02,8162.5483631819925,163.25096726363986,0.0059926273481429974,0.006917201080404808,0.007812812405640933,0.29963136740714985
9,17,2,0.03287371383037022,0.01532020046595039,0.02,2647.363309783385,52.9472661956677,0.0006453419883336238,0.011083318233820662,0.0088898984943485,0.03226709941668119
9,18,2,0.9671262861696298,0.01532020046595039,0.02,2647.363309783385,52.9472661956677,-0.0006453419883336548,0.011083318233820659,0.008889898494348498,-0.032267099416682744
10,19,2,0.7048061740245867,0.10126825273558145,0.10126825273558145,494.18099509647345,50.04484590855081,-0.023981161010331736,0.05507432798567185,0.04792529782765159,-0.23680828258139539
10,20,2,0.29519382597541327,0.10126825273558145,0.10126825273558145,494.18099509647345,50.04484590855081,0.02398116101033184,0.05507432798567186,0.04792529782765162,0.2368082825813964
12,21,2,0.9935650586125245,0.006208984891317458,0.02,103.71967430162954,2.0743934860325908,0.002507873361786872,0.0032970755618427707,0.003423380237436223,0.1253936680893436
12,22,2,0.006434941387475459,0.006208984891317458,0.02,103.71967430162954,2.0743934860325908,-0.0025078733617868625,0.003297075561842768,0.0034233802374362167,-0.12539366808934313
16,23,2,0.5014784576000925,0.16001384462035226,0.16001384462035226,45.988475257191226,7.358792734131111,-0.04673912026962764,0.09178752360165782,0.08304480190733479,-0.29209422709966476
16,24,2,0.4985215423999075,0.16001384462035226,0.16001384462035226,45.988475257191226,7.358792734131111,0.046739120269627774,0.0917875236016578,0.08304480190733483,0.2920942270996656
18,26,3,0.2933167207606753,0.02732448672705284,0.02732448672705284,5419.302325065251,148.07965445113206,0.03270288956215365,0.014995275508198298,0.03285886518538332,1.1968345421755306
18,27,3,0.32769192345699244,0.05808024133360509,0.05808024133360509,5419.302325065251,314.754386899557,0.018531654461475942,0.029399074035960638,0.027957695345669074,0.31906985983464864
18,28,3,0.37899135578233234,0.03801075307876972,0.03801075307876972,5419.302325065251,205.9917625372579,-0.05123454402362954,0.018902770086332114,0.05125970017541455,-1.3478960524001233
19,29,2,0.6885046138796663,0.0755679232688576,0.0755679232688576,1659.6412483166864,125.4156425066264,-0.028830448245326143,0.042839718373332086,0.041596186124102846,-0.3815170114276185
19,30,2,0.3114953861203337,0.07556792326885758,0.07556792326885758,1659.6412483166864,125.41564250662637,0.028830448245326143,0.042839718373332086,0.041596186124102846,0.38151701142761857
20,31,2,0.027692702904310522,0.015407818593208972,0.02,1968.6794462406194,39.37358892481239,-0.0016181265404493256,0.01152364357926001,0.009333018978764724,-0.08090632702246628
20,32,2,0.9723072970956895,0.015407818593208972,0.02,1968.6794462406194,39.37358892481239,0.00161812654044927,0.011523643579260006,0.00933301897876471,0.0809063270224635
21,33,2,0.9998191336830294,0.00012223119672259456,0.02,1906.6435925720145,38.13287185144029,-4.000283541488328e-05,0.00015157644913497742,0.00012348434690896313,-0.0020001417707441642
21,34,2,0.0001808663169705188,0.00012223119672259534,0.02,1906.6435925720145,38.13287185144029,4.00028354149349e-05,0.0001515764491349762,0.00012348434690896825,0.002000141770746745
