flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,1.0008912587168397,3193.136539219817,230.25574947385033,95.97787983837127,61.40238282181536,397.55162838296565,True
1,import_of_bauxite -> bauxite,0.9999697407081556,2910.864262666388,4351.491377713437,154.3480213413715,4052.471780515506,4657.492761421189,True
2,bauxite -> export_bauxite,0.9990269296216061,3192.8789760158297,32.79957146597924,8.529651941773023,16.45838076518148,49.40692605162408,True
3,bauxite -> bauxite_non_aluminum_use,0.9994717384097646,2609.0220199422934,229.52631036146752,97.78560825594923,60.56957574112835,398.762766724782,True
4,bauxite -> bauxite_refining_to_alumina,1.0005308297016833,2688.6318820516663,4319.816898527813,208.50514030317572,3915.106935556302,4724.1693232020825,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9991682166537349,2860.7024957875055,1314.7425060011517,46.19209657410337,1226.6293624950415,1402.9393771660405,True
6,bauxite_refining_to_alumina -> waste_bauxite,0.9992297900812998,2207.678730701542,2319.780140868236,396.5428416293179,1548.6033564995662,3102.9998492873565,True
7,bauxite_refining_to_alumina -> export_alumina,1.0009612916611241,2808.441489862,462.3120854505058,118.25787109317241,233.56532030016587,693.5810462748545,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.9998978318237173,2119.383137182953,779.3295881003152,260.6580904826556,278.4533345613949,1280.472048201714,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9995221500444036,1202.5932373074863,756.8377453336511,189.03834339780943,373.1169208984768,1128.8523156053293,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.9991274878331262,1506.032393455392,1141.3456112726637,287.1386374979005,616.184625277371,1737.9006811342363,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.9993195195185499,3040.6873623481624,669.7411631473511,183.84086907133195,235.68139502163493,901.2532611892364,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.9989040209569503,2858.2870813918025,260.2420504876065,100.9175919459812,66.49771451526225,415.1210666769856,True
13,import_unwrought_aluminum_ingot -> remelting,0.9996692902430793,1714.3692520070533,3386.773617133277,159.74234313584128,3069.169567153676,3696.230767748347,True
14,import_unwrought_aluminum_ingot -> refining,0.9997624638752513,2438.7066661093168,1548.5812940676485,74.66549453597347,1400.6556461513512,1695.3344081033151,True
15,remelting -> loss_remelting,0.9998440623430594,2728.997583840766,214.74222572322302,103.44402589477218,60.37587797143121,429.77621715166777,True
16,remelting -> wrought_aluminum_ingot,0.9994202169977799,1515.2702649480027,9492.415448876978,760.6863339531001,7986.89577433344,10916.819673719872,True
17,refining -> loss_refining,0.999534342105631,3138.833773063461,104.60377236135702,47.96008363943942,26.23861210487136,188.8245929382082,True
18,refining -> cast_aluminum_ingot,1.0013286996226314,1521.1019185143148,2686.5711146967947,132.09711791017392,2428.0349599169926,2948.414218021821,True
19,alloying_element_si -> remelting,1.000200522966487,2749.1401799556397,267.96279615606284,97.8457269931405,70.40010549085294,409.0098302132713,True
20,alloying_element_si -> refining,0.9998086011660999,2984.0459119916386,114.5206624984597,48.861900163152015,29.117857672779245,194.3367626411246,True
21,alloying_element_mg -> remelting,1.0003147748510581,3003.3929962034827,73.39546477984554,30.777544487288896,18.00863553541606,123.83776056461633,True
22,alloying_element_mg -> refining,1.0020203020814158,2587.664699659038,0.46311627931330324,0.2863774105238273,0.022075104283037338,0.964205220517197,True
23,alloying_element_other -> remelting,1.0002259185218783,3200.0,20.473533401712302,8.89784371361914,5.052800167811257,35.14216327395018,True
