flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,1517.3752794400518,2.8629722253585883
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,564.0055283956419,2.8629722253585883
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,564.0055283956419,2.8629722253585883
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,564.0055283956419,2.8629722253585883
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,564.0055283956419,2.8629722253585883
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,48.670527831096,2.8629722253585883
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,48.670527831096,2.8629722253585883
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,6.994172019901748,0.38856511221676376
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,3195.0770035001847,2.8629722253585883
82,1xxx -> extrusion,USGS value 1,274.0,1.0,1.0,3.0,784.4543897482532,2.8629722253585883
83,1xxx -> drawing,USGS value 1,284.0,1.0,1.0,3.0,813.0841120018391,2.8629722253585883
84,1xxx -> other_milling_processes,USGS value 1,54.0,1.0,1.0,3.0,154.60050016936376,2.862972225358588
85,2xxx -> rolling,USGS value 1,122.0,1.0,1.0,3.0,349.28261149374777,2.8629722253585883
86,2xxx -> extrusion,USGS value 1,108.0,1.0,1.0,3.0,309.2010003387275,2.862972225358588
87,2xxx -> drawing,USGS value 1,3.0,1.0,1.0,3.0,8.588916676075765,2.8629722253585883
88,2xxx -> other_milling_processes,USGS value 1,6.0,1.0,1.0,3.0,17.17783335215153,2.8629722253585883
89,3xxx -> rolling,USGS value 1,2417.0,1.0,1.0,3.0,6919.803868691708,2.8629722253585883
90,3xxx -> extrusion,USGS value 1,358.0,1.0,1.0,3.0,1024.9440566783746,2.8629722253585883
91,3xxx -> drawing,USGS value 1,56.0,1.0,1.0,3.0,160.32644462008093,2.8629722253585883
92,3xxx -> other_milling_processes,USGS value 1,18.0,1.0,1.0,3.0,51.53350005645459,2.8629722253585883
93,4xxx -> rolling,USGS value 1,24.0,1.0,1.0,3.0,68.71133340860612,2.8629722253585883
94,4xxx -> other_milling_processes,USGS value 1,93.0,1.0,1.0,3.0,266.2564169583487,2.8629722253585883
95,5xxx -> rolling,USGS value 1,2472.0,1.0,1.0,3.0,7077.26734108643,2.8629722253585883
