flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,1.0001247818222951,3880.6115725279374,162.8623004730789,0.6989159605073064,161.5181292272881,164.2532512855375,True
1,import_of_bauxite -> bauxite,0.9995535465385513,3860.784593102626,4071.0517041768594,0.7136335210711164,4069.6542534909313,4072.437147651567,True
2,bauxite -> export_bauxite,1.000075233763478,4000.0,6.326515000561962,0.5917965452382883,5.1992532780238125,7.479775711914577,True
3,bauxite -> bauxite_non_aluminum_use,0.9994420473913515,4000.0,173.2332061161186,0.7083481076331025,171.83395257133375,174.65215151366195,True
4,bauxite -> bauxite_refining_to_alumina,0.9994672932165857,4000.0,4042.55983106845,0.7048119319168306,4041.223563251593,4043.9734232057954,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9997870336715573,4000.0,1436.208435712006,0.7069956031084084,1434.8140442975966,1437.5575832938107,True
6,bauxite_refining_to_alumina -> waste_bauxite,0.9995483888132787,3956.2628300104834,2340.8420807050024,0.7065996530900728,2339.429364931818,2342.2399007142885,True
7,bauxite_refining_to_alumina -> export_alumina,0.9994071799120856,4000.0,210.6611716443891,0.6976215106395073,209.25685643239814,212.0156250824531,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,1.0000361473892,4000.0,800.612756773347,0.7193451570580112,799.2304571617514,802.0306787230627,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.0003967142345402,4000.0,675.4100616662402,0.7136467360656359,674.0372136977373,676.8200709097812,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.9995629957817851,4000.0,1205.4099323370392,0.7167528004782492,1203.9848401116685,1206.7915041494266,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.9997359951728646,4000.0,566.8869365858197,0.6916298271116454,565.5297879981024,568.2461054233645,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.9997007796317366,3826.5855017884037,341.6883073791797,0.6970097691877419,340.34848759772336,343.0478996029278,True
13,import_unwrought_aluminum_ingot -> remelting,0.9996155268586501,4000.0,4145.358950894472,0.7062482008034002,4143.99779783809,4146.720144296081,True
14,import_unwrought_aluminum_ingot -> refining,0.9995656832599774,4000.0,1270.227673193827,0.7116629341447144,1268.8532684228044,1271.6122623850051,True
15,remelting -> loss_remelting,0.9999857673295468,4000.0,70.94647239515642,0.7011724437040853,69.55001156665978,72.30556434287283,True
16,remelting -> wrought_aluminum_ingot,0.9994106220561069,4000.0,10386.76180326612,0.7105591364620999,10385.374995462422,10388.167637533435,True
17,refining -> loss_refining,0.9992758666812127,3504.0254092202663,61.27833441238708,0.706595106955233,59.9089095748459,62.646678701565705,True
18,refining -> cast_aluminum_ingot,0.9999894000540472,3779.4595965956228,2522.91090422791,0.694715241280746,2521.5467941776124,2524.258215436995,True
19,alloying_element_si -> remelting,0.9992051167402614,3993.3019353846294,546.6920727493751,0.7075107577224292,545.2905716706613,548.0719837910636,True
20,alloying_element_si -> refining,1.000180042590832,4000.0,279.0820610825104,0.7106745282674555,277.6892690358058,280.48769612281126,True
21,alloying_element_mg -> remelting,1.0000302713811386,3726.8010949847935,135.5916040199674,0.7009028298914081,134.1965153153922,136.92475967226616,True
22,alloying_element_mg -> refining,0.9995918831620789,3849.7402197499587,0.6959764095467511,0.42229373487369315,0.048214751982415406,1.6223499849427205,True
23,alloying_element_other -> remelting,1.0003291358088766,3760.110459983617,26.480942260050796,0.7188477697482364,25.047477670037363,27.910998597739244,True
24,alloying_element_other -> refining,1.0000413860258879,4000.0,27.453990131803625,0.7096528950656066,26.050167486911665,28.84387223068461,True
25,import_scrap -> eol_scrap_generated,1.0003618834618064,4000.0,675.0923947912586,0.6969858778903002,673.7178659699289,676.4311175060564,True
26,eol_scrap_generated -> export_eol_scrap,0.9996955176666042,3812.854976297724,1887.683767526701,0.7071037586241509,1886.3055516216984,1889.0669055251701,True
27,eol_scrap_generated -> loss_eol_scrap,0.9993547474778592,4000.0,1643.1935213146037,0.7178167782458007,1641.802863705803,1644.6222369701961,True
28,eol_scrap_generated -> eol_scrap_recycled,1.0001037423854862,3424.8014140389823,1967.9700062453146,0.7068584271074155,1966.6154583891375,1969.3422890772888,True
29,eol_scrap_recycled -> remelting,0.999297126573239,3728.247851343575,1310.2568572400644,0.7160897584192129,1308.8366453886254,1311.6276199332392,True
30,eol_scrap_recycled -> refining,1.000483957943119,3986.508121345311,661.9555990500259,0.7123069460913128,660.5469384557325,663.3625480912974,True
31,forming_scrap_generated -> loss_forming_scrap,0.9993914115444391,3884.6922605227455,89.03916770481788,0.7159279815239403,87.58594330954712,90.42226602098721,True
32,forming_scrap_generated -> forming_scrap_recycled,0.9998132256857617,4000.0,2615.34342504354,0.6961137954615758,2614.0126298083696,2616.721747065868,True
33,forming_scrap_recycled -> remelting,0.9996735503363212,4000.0,2619.962624047003,0.7060924812351096,2618.5801936395355,2621.290868499181,True
34,forming_scrap_recycled -> refining,1.0001600225692429,3981.6042952451226,0.8026954122118851,0.5075576215707852,0.0441540472415249,1.9518060570135305,True
35,fabrication_scrap_generated -> loss_fabrication_scrap,0.9996877279371815,4000.0,45.66608152063245,0.7198410073939511,44.303444132431714,47.11710449162473,True
36,fabrication_scrap_generated -> fabrication_scrap_recycled,0.9997045546934569,4000.0,984.9520282083012,0.708216394643381,983.565796883284,986.2931044194725,True
37,fabrication_scrap_recycled -> remelting,0.9996629586691668,4000.0,987.5747069610836,0.720117499370566,986.170194983642,989.0254673652788,True
38,fabrication_scrap_recycled -> refining,1.000211746420442,4000.0,0.719488283564706,0.48466756965905716,0.03717070939497213,1.791377200389592,True
39,wrought_aluminum_ingot -> 1xxx,0.9995022752206393,4000.0,1621.2620776393865,0.7047004728381093,1619.9210406802133,1622.6528232833086,True
40,wrought_aluminum_ingot -> 2xxx,0.9995656826039008,3892.6965507218065,161.53634626775306,0.6995766829794784,160.16234627070608,162.86127504652197,True
41,wrought_aluminum_ingot -> 3xxx,0.9993600957816703,3891.473827621178,1973.9203277161002,0.711549006128863,1972.477291151675,1975.2844254272975,True
42,wrought_aluminum_ingot -> 4xxx,1.0000868549816047,3593.864087153566,93.08343069221299,0.6408321155112643,91.761649812292,94.34691052422889,True
43,wrought_aluminum_ingot -> 5xxx,1.0003473525977202,4000.0,2628.4111515857203,0.6963447885861805,2627.0544841591445,2629.7761798315773,True
44,wrought_aluminum_ingot -> 6xxx,0.9995520462717447,4000.0,3396.570617583923,0.6956735587976285,3395.2010131143575,3397.95412436687,True
45,wrought_aluminum_ingot -> 7xxx,0.9992674218689952,4000.0,494.9874280919742,0.7071374239316095,493.65244030899316,496.40357950332043,True
