flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,1.0010331954314988,3144.5511117869364,157.00894301628742,50.69918866070821,58.93998002887883,261.1893561981457,True
1,import_of_bauxite -> bauxite,0.9999900700679574,2850.4308842987834,3213.3619254117116,132.27442303340686,2944.3483876086434,3468.109416414243,True
2,bauxite -> export_bauxite,0.9992287421972169,3200.0,5.981877499015253,0.5805840729037361,4.857445004894783,7.099191475634046,True
3,bauxite -> bauxite_non_aluminum_use,0.9993046508470486,3196.96131794579,173.74017350865157,36.29674539866104,97.96728844214788,243.0902591566421,True
4,bauxite -> bauxite_refining_to_alumina,1.000165193783626,3054.360848138923,3186.628075572416,136.39065265039787,2925.656595797399,3456.7136094177627,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9992522977548776,3200.0,1202.6421526909016,201.80515638562738,819.7301550266712,1589.2518040713146,True
6,bauxite_refining_to_alumina -> waste_bauxite,1.0000564277249957,2831.631327368614,1760.593583863854,114.91382552543112,1535.4845436904836,1985.5258362500608,True
7,bauxite_refining_to_alumina -> export_alumina,1.0000412738324889,3038.142157241881,186.09946528106272,16.29911932963512,153.77817662538033,218.7050922727537,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,1.0002630312765115,3200.0,666.8039850268254,47.88700121982879,570.2007744388255,762.3740661716691,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.0005301226672765,3200.0,569.2655885870012,41.648151477550094,486.15213022622316,649.2889198353408,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.9995725535248118,3200.0,860.3719942079675,182.69315793899634,503.4679228641277,1227.3489860933,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,1.0010236672565223,2928.4201206082466,645.7558335453033,70.92483274590961,507.51781969224714,785.2620710026878,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,1.0001300772788941,2807.258067186885,265.48437921228924,65.51882903565405,138.62260020797117,391.19532665031966,True
13,import_unwrought_aluminum_ingot -> remelting,0.9999494150480278,3200.0,2698.491360546478,96.31765956056569,2504.6722024995065,2882.797582675137,True
14,import_unwrought_aluminum_ingot -> refining,1.0003358593027192,3200.0,1248.0383090339458,49.8609398747146,1151.7995749612521,1345.455505129962,True
15,remelting -> loss_remelting,0.9997692494715708,2896.6420987933316,193.00524658668382,103.81359861463068,17.2694541342845,410.28324613157764,True
16,remelting -> wrought_aluminum_ingot,1.0006660263468095,2121.1962667478447,10292.500221750794,1011.0563698521819,8411.816841562697,12354.84161006961,True
17,refining -> loss_refining,1.000018229857899,2824.012573531606,97.10481919376005,37.91140772146473,24.18229012671185,172.08083066861786,True
18,refining -> cast_aluminum_ingot,1.0001018995480149,2646.605727195393,2786.203199910791,283.0176293781003,2256.024707548126,3347.7234058046456,True
19,alloying_element_si -> remelting,1.000514939443164,2827.2158116250707,764.7976319014981,537.9852210653711,46.632954424268604,2042.2506919318923,True
20,alloying_element_si -> refining,1.000601138159466,2912.277473535614,323.2548955675248,227.24669100893738,21.967818627805144,863.9067884878779,True
21,alloying_element_mg -> remelting,1.0008146529047004,2721.3804728280234,1084.6680980280082,709.4144988991108,67.31789926666295,2667.4437468729425,True
22,alloying_element_mg -> refining,1.0006153094672974,2431.497006354173,8.175258288237533,5.44875359584065,0.43234218084456616,20.736249973206082,True
23,alloying_element_other -> remelting,1.000046138641617,2765.4579765130443,458.9673245279991,311.3446818862297,30.143497805775716,1148.5820958357917,True
24,alloying_element_other -> refining,0.9999719934323853,2789.0769803689523,455.9885178111597,307.4038631820318,28.459139776482246,1145.5249295057995,True
25,import_scrap -> eol_scrap_generated,0.9990047060803774,3200.0,684.2772507688419,34.12544326140774,617.5903382436553,750.5061105027738,True
26,eol_scrap_generated -> export_eol_scrap,1.0007191602502263,2726.663962807966,1935.0405035916456,93.70556824800846,1756.2394824130286,2124.2585749474556,True
27,eol_scrap_generated -> loss_eol_scrap,0.9999035980721128,2715.382870243507,2053.694125612709,330.34169915246576,1414.7946999459634,2688.8174340349765,True
28,eol_scrap_generated -> eol_scrap_recycled,0.9992023911941491,2485.6069208291187,1762.2638923674144,137.79446886316592,1497.1412485222647,2029.7860768474761,True
29,eol_scrap_recycled -> remelting,0.999161941172725,2814.4396211250114,1213.010565523491,127.3296165162329,963.118279165411,1461.5511858045702,True
30,eol_scrap_recycled -> refining,0.9994160608126685,2329.2610405530672,548.6867730864479,92.04031759080297,367.68478490503145,724.6385732030559,True
31,forming_scrap_generated -> loss_forming_scrap,1.0001427894239359,2858.5050054256308,78.23437589086227,30.82137127310368,20.139002273811794,140.47152152570737,True
32,forming_scrap_generated -> forming_scrap_recycled,0.999894090367466,2178.167062935714,2692.655864479773,416.47027411234365,1852.8271436891716,3485.038576286506,True
33,forming_scrap_recycled -> remelting,0.9998873891241563,2172.301348297935,2667.7076554187083,416.6955186714102,1822.0483112546551,3471.1902259814156,True
34,forming_scrap_recycled -> refining,0.9993448105221022,3200.0,24.170427020451132,17.948113208400486,1.0630155777028927,66.02189915198639,True
35,fabrication_scrap_generated -> loss_fabrication_scrap,1.0003106979456762,3200.0,44.45223260644453,17.063893058316435,10.434142164136547,78.77657376896647,True
36,fabrication_scrap_generated -> fabrication_scrap_recycled,1.000123368787158,2552.5920371229313,966.4775692140103,139.50088095059823,702.1017108102852,1243.104688309984,True
37,fabrication_scrap_recycled -> remelting,1.000114146252923,2559.5108711975513,955.6145830309238,140.15824235383664,687.730521988528,1236.1063769797393,True
38,fabrication_scrap_recycled -> refining,1.0001273528851335,3194.051377295663,10.995582920930163,8.369013298462523,0.4420568534296881,31.08725871740249,True
39,wrought_aluminum_ingot -> 1xxx,0.9995105466309125,2701.374998724791,1478.3084538086343,356.77878727763925,814.8270863721855,2192.2106772220363,True
40,wrought_aluminum_ingot -> 2xxx,1.0000321630558073,2856.6146106443703,209.28007189082535,115.28161105631592,35.82674051108199,466.6735793164482,True
41,wrought_aluminum_ingot -> 3xxx,0.9999429519019466,2756.4334059700486,1989.5278646447637,425.64108144132,1163.322556925974,2857.9007934272963,True
42,wrought_aluminum_ingot -> 4xxx,1.00019481707753,2992.4716449748234,128.35585250939442,87.63998927368637,8.729086535380958,324.539869931685,True
43,wrought_aluminum_ingot -> 5xxx,1.000454228631282,2664.814014832979,2624.7924200444795,526.3467053163515,1623.0142508419528,3659.7033620834463,True
44,wrought_aluminum_ingot -> 6xxx,1.0004024384810803,2730.0447332836316,3209.522662341888,488.4005529747759,2275.95668033294,4177.470326471301,True
45,wrought_aluminum_ingot -> 7xxx,0.9993765929375104,2746.656867868248,505.2863776891975,151.14593570227265,211.98617831720645,808.601416555513,True
46,wrought_aluminum_ingot -> 8xxx,0.999632725802816,3200.0,123.56959719072236,83.11789551089433,17.658652475062606,320.3852682300123,True
47,cast_aluminum_ingot -> 36x,1.0005300727616209,3200.0,134.36862095910436,49.52500405444351,40.40429094628223,237.10568746455579,True
48,cast_aluminum_ingot -> 38x,0.9996747000439178,2627.997692604335,1367.8906310344184,153.21614045861597,1078.4615112661315,1675.8344114083093,True
49,cast_aluminum_ingot -> 2xx,1.0005721334613347,3200.0,37.3367368674943,25.880444563130617,3.9663969299684143,98.92742309249839,True
50,cast_aluminum_ingot -> 3xx,1.0000360607220893,2683.359728433382,574.5910878615769,79.83568938533836,421.3497126711167,731.7016887765128,True
51,cast_aluminum_ingot -> 4xx,0.9995456475848368,2967.1659146364786,39.088067037307326,26.765556940820517,3.835160443104686,101.75785411838548,True
52,cast_aluminum_ingot -> 5xx,0.9996200794145048,3140.1164071430503,54.533803192143885,33.91070104940374,5.66233202145966,131.59854949856566,True
53,cast_aluminum_ingot -> 7xx,1.0003550816042277,3004.7289243128594,38.77991556786663,26.815379196945276,3.9391308736729793,102.4339720576881,True
54,cast_aluminum_ingot -> other,0.9994903972794353,3012.9451424279846,285.63803420542956,56.64080643714551,173.37625378774277,396.7369417554957,True
55,36x -> die_cast,1.0005187914139297,3200.0,134.36524475508105,49.548499763982456,40.1110176577884,236.72458159042114,True
56,38x -> die_cast,0.9996958764897163,2637.06627405653,1367.8844819030887,153.72414031146053,1077.4511883524478,1675.373555404877,True
57,2xx -> sand_cast,1.0007943469696141,3200.0,12.521284468557191,8.817447214153749,0.8844684529112591,33.380972055128076,True
58,3xx -> sand_cast,1.0004100096889843,2825.6918008998205,193.64223953513323,28.399963085305085,139.4706979063742,249.7828113159472,True
59,4xx -> sand_cast,0.999567134795251,2906.8218714966983,13.08023866410238,9.048613523856288,0.8818299347673444,34.63394842169323,True
60,5xx -> sand_cast,0.9997318082823263,3145.4525804330033,18.23501707590927,11.374694967944361,1.553047817241628,44.22442493921696,True
61,7xx -> sand_cast,1.0002814258261405,3026.081877248349,12.938615743990367,9.004749681370315,0.7531069207694496,34.26165233906812,True
62,other -> sand_cast,0.9994259227401717,3125.531319535568,86.81338171101562,17.668833727760425,51.73920251883087,121.96801738495232,True
63,2xx -> permanent_semi_permanent_mold_cast,1.0005086517088269,3200.0,24.81694641427956,17.32979231296973,1.8181352284479058,65.87132832301297,True
64,3xx -> permanent_semi_permanent_mold_cast,0.9998854895217408,2620.1465559185526,380.94168139224405,53.80146325457435,280.0300136299823,485.77050333331954,True
65,4xx -> permanent_semi_permanent_mold_cast,0.9995706903316569,3006.2750653458966,26.04079003968244,17.97746067905557,1.9799244462714471,68.2711909784852,True
66,5xx -> permanent_semi_permanent_mold_cast,0.999611280568927,3154.6802763654373,36.308756359636384,22.726512082888057,2.8835802663894237,86.96296293924532,True
