var_idx,lower,upper
0,32.80183,295.21647
1,656.0366,5904.3294000000005
2,1.2000000000000002,10.8
3,32.80183,295.21647
4,656.0366,5904.3294000000005
5,0.0,62247.5
6,360.82013000000006,3247.38117
7,34.800000000000004,313.2
8,148.9256,1340.3304
9,111.49087,1003.41783
10,270.5868,2435.2812
11,105.74210513999999,951.67894626
12,66.45789486,598.12105374
13,565.9588336,5093.6295024
14,264.0411664,2376.3704976000004
15,0.0,62247.5
16,1244.95,11204.550000000001
17,0.0,62247.5
18,434.90000000000003,3914.1
19,0.0,62247.5
20,0.0,62247.5
21,0.0,62247.5
22,0.0,62247.5
23,0.0,62247.5
24,0.0,62247.5
25,0.0,62247.5
26,0.0,62247.5
27,0.0,62247.5
28,0.0,62247.5
29,0.0,62247.5
30,0.0,62247.5
31,0.0,62247.5
32,0.0,62247.5
33,137.0,1233.0
34,400.0,3600.0
35,0.0,62247.5
36,318.0,2862.0
37,0.0,62247.5
38,0.0,62247.5
39,0.0,62247.5
40,416.6,3749.4
41,0.0,62247.5
42,0.0,62247.5
43,0.0,62247.5
44,0.0,62247.5
45,0.0,62247.5
46,0.0,62247.5
47,0.0,62247.5
48,0.0,62247.5
49,0.0,62247.5
50,0.0,62247.5
51,0.0,62247.5
52,0.0,62247.5
53,0.0,62247.5
54,0.0,62247.5
55,0.0,62247.5
56,0.0,62247.5
57,0.0,62247.5
58,0.0,62247.5
59,0.0,62247.5
60,0.0,62247.5
61,0.0,62247.5
62,0.0,62247.5
63,0.0,62247.5
64,0.0,62247.5
65,0.0,62247.5
66,0.0,62247.5
67,0.0,62247.5
68,0.0,62247.5
69,0.0,62247.5
70,0.0,62247.5
71,0.0,62247.5
72,0.0,62247.5
73,0.0,62247.5
74,0.0,62247.5
75,0.0,62247.5
76,0.0,62247.5
77,0.0,62247.5
78,60.0,540.0
79,0.0,62247.5
80,0.0,62247.5
81,0.0,62247.5
82,0.0,62247.5
83,0.0,62247.5
84,0.0,62247.5
85,0.0,62247.5
86,0.0,62247.5
87,0.0,62247.5
88,0.0,62247.5
89,0.0,62247.5
90,0.0,62247.5
91,0.0,62247.5
92,0.0,62247.5
93,0.0,62247.5
94,0.0,62247.5
95,0.0,62247.5
96,0.0,62247.5
97,0.0,62247.5
98,0.0,62247.5
99,0.0,62247.5
100,0.0,62247.5
101,0.0,62247.5
102,0.0,62247.5
103,0.0,62247.5
104,0.0,62247.5
105,0.0,62247.5
106,0.0,62247.5
107,0.0,62247.5
108,0.0,62247.5
109,0.0,62247.5
110,0.0,62247.5
111,0.0,62247.5
112,0.0,62247.5
113,0.0,62247.5
114,0.0,62247.5
115,0.0,62247.5
116,0.0,62247.5
117,0.0,62247.5
118,0.0,62247.5
119,0.0,62247.5
120,0.0,62247.5
121,0.0,62247.5
122,0.0,62247.5
123,0.0,62247.5
124,0.0,62247.5
125,0.0,62247.5
126,0.0,62247.5
127,0.0,62247.5
128,0.0,62247.5
129,0.0,62247.5
130,0.0,62247.5
131,0.0,62247.5
132,0.0,62247.5
133,0.0,62247.5
134,0.0,62247.5
135,0.0,62247.5
136,0.0,62247.5
137,0.0,62247.5
138,292.0,2628.0
139,8.878,79.902
140,0.0,62247.5
141,0.0,62247.5
142,0.0,62247.5
143,29.6,266.40000000000003
144,0.0,62247.5
145,1.4320000000000002,12.888
146,0.0,62247.5
147,3.7200000000000006,33.480000000000004
148,0.0,62247.5
149,800.5383626,7204.8452634
150,0.0,62247.5
151,165.32000000000002,1487.88
152,0.0,62247.5
153,0.0,62247.5
154,574.7772266000001,5172.9950394
155,10.22,91.98
156,0.0,62247.5
157,0.0,62247.5
158,0.0,62247.5
159,1.672,15.048
160,0.0,62247.5
161,0.0,62247.5
162,29.83193128,268.48738152
163,0.0,62247.5
164,13.16,118.44
165,0.0,62247.5
166,0.0,62247.5
167,0.0,62247.5
168,0.0,62247.5
169,0.0,62247.5
170,0.0,62247.5
171,0.0,62247.5
172,0.0,62247.5
173,0.0,62247.5
174,0.0,62247.5
175,0.0,62247.5
176,0.0,62247.5
177,0.0,62247.5
178,0.0,62247.5
179,0.0,62247.5
180,0.0,62247.5
181,0.0,62247.5
182,0.0,62247.5
183,0.0,62247.5
184,0.0,62247.5
185,0.0,62247.5
186,0.0,62247.5
187,0.0,62247.5
188,0.0,62247.5
189,0.0,62247.5
190,0.0,62247.5
191,0.0,62247.5
192,0.0,62247.5
193,0.0,62247.5
194,0.0,62247.5
195,0.0,62247.5
196,0.0,62247.5
197,0.0,62247.5
198,0.0,62247.5
199,0.0,62247.5
200,0.0,62247.5
201,0.0,62247.5
202,0.0,62247.5
203,0.0,62247.5
204,0.0,62247.5
205,0.0,62247.5
206,0.0,62247.5
207,0.0,62247.5
208,0.0,62247.5
209,0.0,62247.5
210,0.0,62247.5
211,0.0,62247.5
