Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Value1,Value2,Value3,Value4
104,5xxx,Extrusion,46,53,,,,
105,5xxx,Drawing,46,55,,,,
106,5xxx,Other milling processes,46,57,,,,
107,6xxx,Rolling,47,51,,,,
108,6xxx,Extrusion,47,53,,,,
109,6xxx,Drawing,47,55,,,,
110,6xxx,Other milling processes,47,57,,,,
111,7xxx,Rolling,48,51,,,,
112,7xxx,Extrusion,48,53,,,,
113,7xxx,Drawing,48,55,,,,
114,7xxx,Other milling processes,48,57,,,,
115,8xxx,Rolling,49,51,,,,
116,8xxx,Extrusion,49,53,,,,
117,8xxx,Drawing,49,55,,,,
118,8xxx,Other milling processes,49,57,,,,
119,die cast,Building & construction,34,69,,,,
120,die cast,Transportation auto,34,70,,,,
121,die cast,Transportation other,34,71,,,,
122,die cast,Machine & industry,34,72,,,,
123,die cast,Electrical & equipment,34,73,,,,
124,die cast,Consumer durables,34,74,,,,
125,die cast,Other end uses,34,76,,,,
126,sand cast,Transportation auto,36,70,,,,
127,sand cast,Transportation other,36,71,,,,
128,sand cast,Machine & industry,36,72,,,,
129,sand cast,Electrical & equipment,36,73,,,,
130,sand cast,Consumer durables,36,74,,,,
131,sand cast,Other end uses,36,76,,,,
132,permanent- & semi-permanent mold cast,Transportation auto,38,70,,,,
133,permanent- & semi-permanent mold cast,Transportation other,38,71,,,,
134,permanent- & semi-permanent mold cast,Machine & industry,38,72,,,,
135,permanent- & semi-permanent mold cast,Electrical & equipment,38,73,,,,
136,permanent- & semi-permanent mold cast,Consumer durables,38,74,,,,
137,permanent- & semi-permanent mold cast,Other end uses,38,76,,,,
138,other cast,Other end uses,40,76,,,,
139,Import mill semifinished products,Rolling,50,51,1460.0,,,
140,Import mill semifinished products,Extrusion,50,53,44.39,,,
141,Import mill semifinished products,Drawing,50,55,,,,
142,Import mill semifinished products,Other milling processes,50,57,,,,
143,Import mill semifinished products,Sheet & Plate,50,59,,,,
144,Import mill semifinished products,Foil,50,61,148.0,,,
145,Import mill semifinished products,Extruded Products,50,63,,,,
146,Import mill semifinished products,Wire,50,65,7.16,,,
147,Import mill semifinished products,Forging & impacts,50,66,,,,
148,Import mill semifinished products,Powerder & Paste,50,67,18.6,,,
149,Rolling,Scrap Rolling,51,52,,,,
150,Rolling,Sheet & Plate,51,59,4002.691813,,,
151,Rolling,Foil,51,61,,,,
152,Rolling,Export milling semifinished products,51,99,826.6,,,
153,Scrap Rolling,Forming scrap (generated),52,20,,,,
154,Extrusion,Scrap Extrusion,53,54,,,,
155,Extrusion,Extruded Products,53,63,2873.886133,,,
156,Extrusion,Export milling semifinished products,53,99,51.1,,,
157,Scrap Extrusion,Forming scrap (generated),54,20,,,,
158,Drawing,Scrap Drawing,55,56,,,,
159,Drawing,Wire,55,65,,,,
160,Drawing,Export milling semifinished products,55,99,8.36,,,
161,Scrap Drawing,Forming scrap (generated),56,20,,,,
162,Other milling processes,Scrap Other milling processes,57,58,,,,
163,Other milling processes,Forging & impacts,57,66,149.1596564,,,
164,Other milling processes,Powerder & Paste,57,67,,,,
165,Other milling processes,Export milling semifinished products,57,99,65.8,,,
166,Scrap Other milling processes,Forming scrap (generated),58,20,,,,
167,Sheet & Plate,Scrap Sheet & Plate,59,60,,,,
168,Sheet & Plate,Building & construction,59,69,,,,
169,Sheet & Plate,Transportation auto,59,70,,,,
170,Sheet & Plate,Transportation other,59,71,,,,
171,Sheet & Plate,Machine & industry,59,72,,,,
172,Sheet & Plate,Electrical & equipment,59,73,,,,
173,Sheet & Plate,Consumer durables,59,74,,,,
174,Sheet & Plate,Container & packages,59,75,,,,
175,Sheet & Plate,Other end uses,59,76,,,,
176,Scrap Sheet & Plate,Fabrication scrap (generated),60,22,,,,
177,Foil,Scrap Foil,61,62,,,,
178,Foil,Building & construction,61,69,,,,
179,Foil,Transportation auto,61,70,,,,
180,Foil,Transportation other,61,71,,,,
181,Foil,Machine & industry,61,72,,,,
182,Foil,Electrical & equipment,61,73,,,,
183,Foil,Consumer durables,61,74,,,,
184,Foil,Container & packages,61,75,,,,
185,Foil,Other end uses,61,76,,,,
186,Scrap Foil,Fabrication scrap (generated),62,22,,,,
187,Extruded Products,Scrap Extruded Products,63,64,,,,
188,Extruded Products,Building & construction,63,69,,,,
189,Extruded Products,Transportation auto,63,70,,,,
190,Extruded Products,Transportation other,63,71,,,,
191,Extruded Products,Machine & industry,63,72,,,,
192,Extruded Products,Electrical & equipment,63,73,,,,
193,Extruded Products,Consumer durables,63,74,,,,
194,Extruded Products,Other end uses,63,76,,,,
195,Scrap Extruded Products,Fabrication scrap (generated),64,22,,,,
196,Wire,Building & construction,65,69,,,,
197,Wire,Transportation other,65,71,,,,
198,Wire,Machine & industry,65,72,,,,
199,Wire,Electrical & equipment,65,73,,,,
200,Wire,Consumer durables,65,74,,,,
201,Wire,Other end uses,65,76,,,,
202,Forging & impacts,Transportation auto,66,70,,,,
203,Forging & impacts,Transportation other,66,71,,,,
204,Forging & impacts,Machine & industry,66,72,,,,
205,Forging & impacts,Electrical & equipment,66,73,,,,
206,Forging & impacts,Consumer durables,66,74,,,,
207,Forging & impacts,Container & packages,66,75,,,,
208,Forging & impacts,Other end uses,66,76,,,,
209,Powerder & Paste,Other end uses,67,76,,,,
210,Import finished consumption,Building & construction,68,69,,,,
211,Import finished consumption,Transportation auto,68,70,,,,
212,Import finished consumption,Transportation other,68,71,,,,
213,Import finished consumption,Machine & industry,68,72,,,,
214,Import finished consumption,Electrical & equipment,68,73,,,,
215,Import finished consumption,Consumer durables,68,74,,,,
216,Import finished consumption,Container & packages,68,75,,,,
217,Import finished consumption,Other end uses,68,76,,,,
218,Building & construction,Export finished consumption,69,100,,,,
219,Building & construction,Consumption Building & construction,69,101,1405.574107,,,
220,Transportation auto,Export finished consumption,70,100,,,,
221,Transportation auto,Consumption Transportation auto,70,102,1737.166733,,,
222,Transportation other,Export finished consumption,71,100,,,,
223,Transportation other,Consumption Transportation other,71,103,918.4631329,,,
224,Machine & industry,Export finished consumption,72,100,,,,
225,Machine & industry,Consumption Machine & industry,72,104,736.4747668,,,
226,Electrical & equipment,Export finished consumption,73,100,,,,
227,Electrical & equipment,Consumption Electrical & equipment,73,105,957.242923,,,
228,Consumer durables,Export finished consumption,74,100,,,,
229,Consumer durables,Consumption Consumer durables,74,106,1465.714087,,,
230,Container & packages,Export finished consumption,75,100,,,,
231,Container & packages,Consumption Container & packages,75,107,1699.839931,,,
232,Other end uses,Export finished consumption,76,100,,,,
233,Other end uses,Consumption Other end uses,76,108,268.7354505,,,
234,EOL scrap Building & construction,EOL scrap (generated),77,18,294.296832,,,
235,EOL scrap Transportation auto,EOL scrap (generated),78,18,1401.194965,,,
236,EOL scrap Transportation other,EOL scrap (generated),79,18,565.5488941,,,
237,EOL scrap Machine & industry,EOL scrap (generated),80,18,282.9262632,,,
238,EOL scrap Electrical & equipment,EOL scrap (generated),81,18,378.8634735,,,
239,EOL scrap Consumer durables,EOL scrap (generated),82,18,944.0480768,,,
240,EOL scrap Container & packages,EOL scrap (generated),83,18,1699.847102,,,
241,EOL scrap Other end uses,EOL scrap (generated),84,18,262.6861837,,,
