node_id,target_node_id,share_mean,kappa
1,3,1.0,20.0
2,3,1.0,20.0
3,85,0.00173903357817332,20.0
3,86,0.047536236496277466,20.0
3,5,0.9507247299255492,20.0
4,6,1.0,20.0
5,87,0.55,20.0
5,88,0.053045820919137746,20.0
5,89,0.22700806631825116,20.0
5,6,0.1699461127626111,20.0
6,90,0.6110995178718064,20.0
6,8,0.23881042781763137,20.0
6,9,0.15009005431056208,20.0
7,8,0.6818781127710843,20.0
7,9,0.3181218872289157,20.0
8,91,0.0,20.0
8,24,1.0,20.0
9,92,0.0,20.0
9,25,1.0,20.0
10,8,0.5,20.0
10,9,0.5,20.0
11,8,0.5,20.0
11,9,0.5,20.0
12,8,0.5,20.0
12,9,0.5,20.0
13,8,0.5,20.0
13,9,0.5,20.0
14,8,0.5,20.0
14,9,0.5,20.0
15,8,0.5,20.0
15,9,0.5,20.0
16,8,0.5,20.0
16,9,0.5,20.0
17,18,1.0,20.0
18,93,0.5571030640668524,20.0
18,94,0.0,20.0
18,19,0.4428969359331476,20.0
19,8,0.5,20.0
19,9,0.5,20.0
20,95,0.0,20.0
20,21,1.0,20.0
21,8,0.5,20.0
21,9,0.5,20.0
22,96,0.5,20.0
22,23,0.5,20.0
23,8,0.5,20.0
23,9,0.5,20.0
24,42,0.125,20.0
24,43,0.125,20.0
24,44,0.125,20.0
24,45,0.125,20.0
24,46,0.125,20.0
24,47,0.125,20.0
24,48,0.125,20.0
24,49,0.125,20.0
25,26,0.0,20.0
25,27,0.0,20.0
25,28,0.0,20.0
25,29,0.0,20.0
25,30,0.0,20.0
25,31,0.0,20.0
25,32,0.0,20.0
25,33,0.0,20.0
25,97,1.0,20.0
26,34,1.0,20.0
27,34,1.0,20.0
28,36,0.5,20.0
28,38,0.5,20.0
29,36,0.5,20.0
29,38,0.5,20.0
30,36,0.5,20.0
30,38,0.5,20.0
31,36,0.5,20.0
31,38,0.5,20.0
32,36,0.5,20.0
32,38,0.5,20.0
33,36,0.3333333333333333,20.0
33,38,0.3333333333333333,20.0
33,40,0.3333333333333333,20.0
34,35,0.1111111111111111,20.0
34,98,0.1111111111111111,20.0
34,69,0.1111111111111111,20.0
34,70,0.1111111111111111,20.0
34,71,0.1111111111111111,20.0
34,72,0.1111111111111111,20.0
34,73,0.1111111111111111,20.0
34,74,0.1111111111111111,20.0
34,76,0.1111111111111111,20.0
35,34,1.0,20.0
36,37,0.14285714285714285,20.0
36,70,0.14285714285714285,20.0
36,71,0.14285714285714285,20.0
36,72,0.14285714285714285,20.0
36,73,0.14285714285714285,20.0
36,74,0.14285714285714285,20.0
36,76,0.14285714285714285,20.0
37,36,1.0,20.0
38,39,0.14285714285714285,20.0
38,70,0.14285714285714285,20.0
38,71,0.14285714285714285,20.0
38,72,0.14285714285714285,20.0
38,73,0.14285714285714285,20.0
38,74,0.14285714285714285,20.0
38,76,0.14285714285714285,20.0
39,38,1.0,20.0
40,41,0.5,20.0
40,76,0.5,20.0
41,40,1.0,20.0
42,51,0.25,20.0
42,53,0.25,20.0
42,55,0.25,20.0
42,57,0.25,20.0
43,51,0.25,20.0
43,53,0.25,20.0
43,55,0.25,20.0
43,57,0.25,20.0
44,51,0.25,20.0
44,53,0.25,20.0
44,55,0.25,20.0
44,57,0.25,20.0
45,51,0.5,20.0
45,57,0.5,20.0
46,51,0.25,20.0
46,53,0.25,20.0
46,55,0.25,20.0
46,57,0.25,20.0
47,51,0.25,20.0
47,53,0.25,20.0
47,55,0.25,20.0
47,57,0.25,20.0
48,51,0.25,20.0
48,53,0.25,20.0
48,55,0.25,20.0
48,57,0.25,20.0
49,51,0.25,20.0
49,53,0.25,20.0
49,55,0.25,20.0
49,57,0.25,20.0
50,51,0.8700056609957393,20.0
50,53,0.026451747460000594,20.0
50,55,0.0,20.0
50,57,0.0,20.0
50,59,0.0,20.0
50,61,0.08819235467628042,20.0
50,63,0.0,20.0
50,65,0.004266603104609242,20.0
50,66,0.0,20.0
50,67,0.011083633763370378,20.0
51,52,0.0,20.0
