flow_index,from_node,to_node,published_2017_mean_kt,published_2017_std_kt,published_2017_ci_lo,published_2017_ci_hi,published_2022_mean_kt,published_2022_std_kt_FLAGGED,published_2022_ci_lo_FLAGGED,published_2022_ci_hi_FLAGGED,published_2022_ci_width_pct
127,permanent- & semi-permanent mold cast,Machine & industry,18.0,,,,31.83,3.7403,24.5,39.17,46.058
128,permanent- & semi-permanent mold cast,Electrical & equipment,24.0,,,,23.1,5.1246,13.06,33.15,86.956
129,permanent- & semi-permanent mold cast,Consumer durables,48.0,,,,76.35,5.016,66.52,86.18,25.754
130,permanent- & semi-permanent mold cast,Other end uses,34.0,,,,52.22,9.4925,33.61,70.82,71.259
131,other cast,Other end uses,50.4,,,,47.68,2.9269,41.95,53.42,24.061
132,Import mill semifinished products,Rolling,1540.0,,,,1602.09,5.6807,1590.96,1613.23,1.39
133,Import mill semifinished products,Extrusion,0.0,,,,48.31,0.7757,46.79,49.83,6.294
134,Import mill semifinished products,Drawing,137.72,,,,294.0,7.2011,279.89,308.12,9.601
135,Import mill semifinished products,Other milling processes,0.0,,,,119.96,2.0826,115.88,124.05,6.805
136,Import mill semifinished products,Sheet & Plate,0.0,,,,17.11,3.5637,10.12,24.09,81.652
137,Import mill semifinished products,Foil,285.4,,,,161.35,2.1291,157.18,165.52,5.173
138,Import mill semifinished products,Extruded Products,0.0,,,,7.87,4.2048,-0.37,16.11,209.464
139,Import mill semifinished products,Wire,187.2,,,,7.8,0.1203,7.57,8.04,6.04
140,Import mill semifinished products,Forging & impacts,0.0,,,,29.92,4.0458,21.99,37.85,53.0
141,Import mill semifinished products,Powerder & Paste,15.0,,,,20.23,0.3402,19.57,20.9,6.591
142,Rolling,Scrap Rolling,1600.0,,,,1308.57,8.4462,1292.01,1325.12,2.53
143,Rolling,Sheet & Plate,4512.0,,,,4105.91,7.1221,4091.95,4119.87,0.68
144,Rolling,Foil,378.6,,,,381.5,8.9273,364.0,398.99,9.173
145,Rolling,Export milling semifinished products,666.6,,,,750.66,9.8907,731.28,770.05,5.165
146,Scrap Rolling,Forming scrap (generated),1600.0,,,,1308.57,8.4462,1292.01,1325.12,2.53
147,Extrusion,Scrap Extrusion,738.0,,,,688.79,11.5066,666.23,711.34,6.549
148,Extrusion,Extruded Products,2033.5,,,,2015.67,5.8599,2004.19,2027.16,1.14
149,Extrusion,Export milling semifinished products,137.4,,,,46.59,0.899,44.82,48.35,7.564
150,Scrap Extrusion,Forming scrap (generated),738.0,,,,688.79,11.5066,666.23,711.34,6.549
151,Drawing,Scrap Drawing,154.84,,,,95.37,5.446,84.69,106.04,22.385
152,Drawing,Wire,352.88,,,,445.06,8.6204,428.16,461.96,7.593
153,Drawing,Export milling semifinished products,41.0,,,,7.6,0.1278,7.35,7.85,6.594
154,Scrap Drawing,Forming scrap (generated),154.84,,,,95.37,5.446,84.69,106.04,22.385
155,Other milling processes,Scrap Other milling processes,209.0,,,,177.24,6.2494,165.0,189.49,13.821
156,Other milling processes,Forging & impacts,145.6,,,,105.72,1.954,101.89,109.55,7.245
157,Other milling processes,Powerder & Paste,40.0,,,,1.74,2.588,-3.33,6.82,582.034
158,Other milling processes,Export milling semifinished products,0.0,,,,46.84,1.1714,44.55,49.14,9.803
159,Scrap Other milling processes,Forming scrap (generated),209.0,,,,177.24,6.2494,165.0,189.49,13.821
160,Sheet & Plate,Scrap Sheet & Plate,838.0,,,,844.79,9.3861,826.39,863.18,4.355
161,Sheet & Plate,Building & construction,334.2,,,,464.24,7.18,450.16,478.31,6.063
162,Sheet & Plate,Transportation auto,710.4,,,,520.96,17.0736,487.5,554.42,12.847
163,Sheet & Plate,Transportation other,506.4,,,,584.62,7.7348,569.46,599.78,5.186
164,Sheet & Plate,Machine & industry,344.2,,,,270.84,5.635,259.79,281.88,8.156
165,Sheet & Plate,Electrical & equipment,153.0,,,,120.34,6.5652,107.47,133.2,21.387
166,Sheet & Plate,Consumer durables,228.0,,,,237.85,6.5779,224.96,250.74,10.841
167,Sheet & Plate,Container & packages,1364.8,,,,1049.22,10.466,1028.71,1069.74,3.91
168,Sheet & Plate,Other end uses,33.0,,,,30.17,9.4922,11.56,48.77,123.336
169,Scrap Sheet & Plate,Fabrication scrap (generated),838.0,,,,844.79,9.3861,826.39,863.18,4.355
170,Foil,Scrap Foil,31.0,,,,10.02,6.2728,-2.28,22.31,245.501
171,Foil,Building & construction,17.0,,,,2.17,3.1322,-3.97,8.31,565.824
172,Foil,Transportation auto,36.0,,,,2.5,3.6414,-4.64,9.63,572.122
173,Foil,Transportation other,11.0,,,,1.72,2.5269,-3.24,6.67,576.896
174,Foil,Machine & industry,3.0,,,,1.19,1.7528,-2.25,4.62,578.356
175,Foil,Electrical & equipment,5.0,,,,1.41,2.1167,-2.74,5.56,588.885
176,Foil,Consumer durables,137.0,,,,101.41,7.3211,87.06,115.76,28.299
177,Foil,Container & packages,423.0,,,,433.07,14.9193,403.83,462.31,13.504
178,Foil,Other end uses,1.0,,,,4.01,5.8093,-7.38,15.4,568.037
179,Scrap Foil,Fabrication scrap (generated),31.0,,,,10.02,6.2728,-2.28,22.31,245.501
180,Extruded Products,Scrap Extruded Products,103.0,,,,110.52,15.5111,80.12,140.92,55.015
181,Extruded Products,Building & construction,804.99,,,,815.62,19.9589,776.5,854.74,9.593
