year,flow_idx,from_node,to_node,flow_median,flow_ci_lo,flow_ci_hi,nodealloc_median,nodealloc_ci_lo,nodealloc_ci_hi,abs_diff,rel_diff,flow_ci_width,nodealloc_ci_width,intervals_overlap,material
2017,0,bauxite_mining,bauxite,230.19121223733916,129.488986702384,331.01836578583567,243.41963612440662,160.71467170722542,365.1388924008839,13.228423887067464,0.05746711074890326,201.52937908345166,204.42422069365847,True,True
2017,1,import_of_bauxite,bauxite,4353.063388165134,4065.078368735609,4639.301649123643,4383.419731635081,4098.507685149885,4692.261113352851,30.356343469947205,0.00697355879367122,574.2232803880343,593.7534282029656,True,True
2017,2,bauxite,export_bauxite,32.848293606733804,28.29530618812023,37.25152129341936,58.678062598776705,15.865274896512,210.29045967391804,25.8297689920429,0.7863351838388303,8.95621510529913,194.42518477740603,True,False
2017,3,bauxite,bauxite_non_aluminum_use,228.74016826102053,125.35816151250603,330.3427303717926,251.44325406581174,132.97727437225814,455.59603251460186,22.703085804791215,0.09925272844463512,204.98456885928655,322.6187581423437,True,True
2017,4,bauxite,bauxite_refining_to_alumina,4321.427506758122,4003.191474214028,4651.027329133668,4296.010694990884,3946.700699774593,4652.084103753364,-25.41681176723796,-0.005881577725760652,647.83585491964,705.3834039787707,True,True
2017,5,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1316.622748278202,1225.4076933280855,1407.3375536556737,1321.0026273010674,1235.9980663103343,1415.4113193223113,4.3798790228654525,0.0033266013583565894,181.92986032758813,179.41325301197708,True,True
2017,6,bauxite_refining_to_alumina,waste_bauxite,2322.721112325833,1945.625344956386,2691.284657401453,2285.48031258211,1934.1009885949684,2645.96073396693,-37.24079974372307,-0.016033263548559377,745.6593124450669,711.8597453719617,True,True
2017,7,bauxite_refining_to_alumina,export_alumina,464.9366971130446,402.3554810724896,527.7241246960823,465.28776237234166,298.8258081479529,689.4529981184564,0.3510652592970587,0.0007550818455005731,125.36864362359267,390.62718997050354,True,True
2017,8,bauxite_refining_to_alumina,alumina_non_aluminum_use,779.6022355060929,630.0858794336724,923.8639362913318,769.4498001272177,554.4892668481806,1026.2886145428815,-10.152435378875225,-0.013022583718329882,293.7780568576594,471.79934769470094,True,True
2017,9,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,757.2796178534068,659.3842212094422,857.9296988817653,782.2409862658052,569.4293120320582,1057.5723335942014,24.96136841239843,0.03296189125379368,198.54547767232305,488.1430215621432,True,True
2017,10,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,955.7347189898306,735.1054931100501,1290.1640468988319,1261.9619936214258,1013.5257784122654,1532.9116519724435,306.22727463159515,0.32041032783162243,555.0585537887818,519.3858735601781,True,True
